G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
1,2024-10-23,7:30p,Brooklyn Nets,120.0,116.0,1,0,W 1,17548,2:33,,W,Atlanta Hawks,ATL,2025-03-11
2,2024-10-25,7:30p,Charlotte Hornets,125.0,120.0,2,0,W 2,14433,2:32,,W,Atlanta Hawks,ATL,2025-03-11
3,2024-10-27,7:00p,Oklahoma City Thunder,104.0,128.0,2,1,L 1,18203,2:23,,L,Atlanta Hawks,ATL,2025-03-11
4,2024-10-28,7:30p,Washington Wizards,119.0,121.0,2,2,L 2,14566,2:26,,L,Atlanta Hawks,ATL,2025-03-11
5,2024-10-30,7:00p,Washington Wizards,120.0,133.0,2,3,L 3,14255,2:25,,L,Atlanta Hawks,ATL,2025-03-11
6,2024-11-01,7:30p,Sacramento Kings,115.0,123.0,2,4,L 4,15156,2:16,,L,Atlanta Hawks,ATL,2025-03-11
7,2024-11-03,7:00p,New Orleans Pelicans,126.0,111.0,3,4,W 1,15505,2:07,,W,Atlanta Hawks,ATL,2025-03-11
8,2024-11-04,7:45p,Boston Celtics,93.0,123.0,3,5,L 1,15031,1:56,,L,Atlanta Hawks,ATL,2025-03-11
9,2024-11-06,7:30p,New York Knicks,121.0,116.0,4,5,W 1,16072,2:16,,W,Atlanta Hawks,ATL,2025-03-11
10,2024-11-08,7:00p,Detroit Pistons,121.0,122.0,4,6,L 1,17913,2:19,,L,Atlanta Hawks,ATL,2025-03-11
11,2024-11-09,7:30p,Chicago Bulls,113.0,125.0,4,7,L 2,17826,2:17,,L,Atlanta Hawks,ATL,2025-03-11
12,2024-11-12,7:00p,Boston Celtics,117.0,116.0,5,7,W 1,19156,2:13,In-Season Tournament,W,Atlanta Hawks,ATL,2025-03-11
13,2024-11-15,7:30p,Washington Wizards,129.0,117.0,6,7,W 2,16038,2:15,In-Season Tournament,W,Atlanta Hawks,ATL,2025-03-11
14,2024-11-17,6:00p,Portland Trail Blazers,110.0,114.0,6,8,L 1,17384,2:25,,L,Atlanta Hawks,ATL,2025-03-11
15,2024-11-18,10:00p,Sacramento Kings,109.0,108.0,7,8,W 1,16333,2:10,,W,Atlanta Hawks,ATL,2025-03-11
