G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-22,7:30p,New York Knicks,132.0,109.0,1,0,W 1,19156,2:04,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
2,2024-10-24,7:00p,Washington Wizards,122.0,102.0,2,0,W 2,18610,2:11,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
3,2024-10-26,7:00p,Detroit Pistons,124.0,118.0,3,0,W 3,19311,2:18,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
4,2024-10-28,7:30p,Milwaukee Bucks,119.0,108.0,4,0,W 4,19156,2:18,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
5,2024-10-30,7:00p,Indiana Pacers,132.0,135.0,4,1,L 1,17274,2:37,,L,Boston Celtics,BOS,2025-03-11,@,False,0.0
6,2024-11-01,7:00p,Charlotte Hornets,124.0,109.0,5,1,W 1,18557,2:17,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
7,2024-11-02,6:00p,Charlotte Hornets,113.0,103.0,6,1,W 2,19253,2:09,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
8,2024-11-04,7:45p,Atlanta Hawks,123.0,93.0,7,1,W 3,15031,1:56,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
9,2024-11-06,7:30p,Golden State Warriors,112.0,118.0,7,2,L 1,19156,2:21,,L,Boston Celtics,BOS,2025-03-11,,True,1.0
10,2024-11-08,7:30p,Brooklyn Nets,108.0,104.0,8,2,W 1,19156,2:26,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
11,2024-11-10,3:30p,Milwaukee Bucks,113.0,107.0,9,2,W 2,17341,2:16,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
12,2024-11-12,7:00p,Atlanta Hawks,116.0,117.0,9,3,L 1,19156,2:13,In-Season Tournament,L,Boston Celtics,BOS,2025-03-11,,True,1.0
13,2024-11-13,7:30p,Brooklyn Nets,139.0,114.0,10,3,W 1,18112,2:10,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
14,2024-11-16,8:00p,Toronto Raptors,126.0,123.0,11,3,W 2,19156,2:27,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
15,2024-11-19,7:00p,Cleveland Cavaliers,120.0,117.0,12,3,W 3,19156,2:16,In-Season Tournament,W,Boston Celtics,BOS,2025-03-11,,True,1.0
16,2024-11-22,7:00p,Washington Wizards,108.0,96.0,13,3,W 4,20385,2:24,In-Season Tournament,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
17,2024-11-24,3:30p,Minnesota Timberwolves,107.0,105.0,14,3,W 5,19156,2:03,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
18,2024-11-25,7:30p,Los Angeles Clippers,126.0,94.0,15,3,W 6,19156,1:58,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
19,2024-11-29,8:00p,Chicago Bulls,138.0,129.0,16,3,W 7,19798,2:08,In-Season Tournament,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
20,2024-12-01,6:00p,Cleveland Cavaliers,111.0,115.0,16,4,L 1,19432,2:16,,L,Boston Celtics,BOS,2025-03-11,@,False,0.0
21,2024-12-02,7:30p,Miami Heat,108.0,89.0,17,4,W 1,19156,2:02,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
22,2024-12-04,7:30p,Detroit Pistons,130.0,120.0,18,4,W 2,19156,2:12,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
23,2024-12-06,7:30p,Milwaukee Bucks,111.0,105.0,19,4,W 3,19156,2:16,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
24,2024-12-07,8:00p,Memphis Grizzlies,121.0,127.0,19,5,L 1,19156,2:20,,L,Boston Celtics,BOS,2025-03-11,,True,1.0
25,2024-12-12,7:30p,Detroit Pistons,123.0,99.0,20,5,W 1,19156,1:57,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
26,2024-12-15,6:00p,Washington Wizards,112.0,98.0,21,5,W 2,16227,2:05,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
27,2024-12-19,7:30p,Chicago Bulls,108.0,117.0,21,6,L 1,19156,2:06,,L,Boston Celtics,BOS,2025-03-11,@,False,0.0
28,2024-12-21,8:00p,Chicago Bulls,123.0,98.0,22,6,W 1,19803,1:57,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
29,2024-12-23,7:00p,Orlando Magic,104.0,108.0,22,7,L 1,18846,2:26,,L,Boston Celtics,BOS,2025-03-11,,True,1.0
30,2024-12-25,5:00p,Philadelphia 76ers,114.0,118.0,22,8,L 2,19156,2:23,,L,Boston Celtics,BOS,2025-03-11,,True,1.0
31,2024-12-27,7:30p,Indiana Pacers,142.0,105.0,23,8,W 1,19156,2:08,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
32,2024-12-29,6:00p,Indiana Pacers,114.0,123.0,23,9,L 1,19156,2:13,,L,Boston Celtics,BOS,2025-03-11,,True,1.0
33,2024-12-31,3:00p,Toronto Raptors,125.0,71.0,24,9,W 1,19156,1:59,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
34,2025-01-02,7:30p,Minnesota Timberwolves,118.0,115.0,25,9,W 2,18978,2:11,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
35,2025-01-03,8:00p,Houston Rockets,109.0,86.0,26,9,W 3,18055,2:01,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
36,2025-01-05,3:30p,Oklahoma City Thunder,92.0,105.0,26,10,L 1,18203,2:08,,L,Boston Celtics,BOS,2025-03-11,@,False,0.0
37,2025-01-07,10:00p,Denver Nuggets,118.0,106.0,27,10,W 1,19904,2:16,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
38,2025-01-10,7:30p,Sacramento Kings,97.0,114.0,27,11,L 1,19156,2:00,,L,Boston Celtics,BOS,2025-03-11,,True,1.0
39,2025-01-12,6:00p,New Orleans Pelicans,120.0,119.0,28,11,W 1,19156,2:15,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
40,2025-01-15,7:30p,Toronto Raptors,97.0,110.0,28,12,L 1,18566,2:09,,L,Boston Celtics,BOS,2025-03-11,,True,1.0
41,2025-01-17,7:00p,Orlando Magic,121.0,94.0,29,12,W 1,19156,2:23,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
42,2025-01-18,7:00p,Atlanta Hawks,115.0,119.0,29,13,L 1,19156,2:40,,L,Boston Celtics,BOS,2025-03-11,@,False,0.0
43,2025-01-20,5:00p,Golden State Warriors,125.0,85.0,30,13,W 1,18064,2:06,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
44,2025-01-22,10:30p,Los Angeles Clippers,117.0,113.0,31,13,W 2,15342,2:40,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
45,2025-01-23,10:00p,Los Angeles Lakers,96.0,117.0,31,14,L 1,18997,2:08,,L,Boston Celtics,BOS,2025-03-11,,True,1.0
46,2025-01-25,5:30p,Dallas Mavericks,122.0,107.0,32,14,W 1,20421,2:27,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
47,2025-01-27,7:30p,Houston Rockets,112.0,114.0,32,15,L 1,19156,2:19,,L,Boston Celtics,BOS,2025-03-11,@,False,0.0
48,2025-01-29,7:30p,Chicago Bulls,122.0,100.0,33,15,W 1,19156,2:07,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
49,2025-01-31,8:00p,New Orleans Pelicans,118.0,116.0,34,15,W 2,16432,2:16,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
50,2025-02-02,6:00p,Philadelphia 76ers,118.0,110.0,35,15,W 3,19766,2:22,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
51,2025-02-04,7:30p,Cleveland Cavaliers,112.0,105.0,36,15,W 4,19432,2:26,,W,Boston Celtics,BOS,2025-03-11,@,False,0.0
52,2025-02-06,7:30p,Dallas Mavericks,120.0,127.0,36,16,L 1,19156,2:09,,L,Boston Celtics,BOS,2025-03-11,@,False,0.0
53,2025-02-08,8:30p,New York Knicks,131.0,104.0,37,16,W 1,19812,2:13,,W,Boston Celtics,BOS,2025-03-11,,True,1.0
