G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-23,8:00p,New Orleans Pelicans,111.0,123.0,0,1,L 1,18581,2:11,,L,Chicago Bulls,CHI,2025-03-11,@,False,0.0
2,2024-10-25,8:00p,Milwaukee Bucks,133.0,122.0,1,1,W 1,17790,2:13,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
3,2024-10-26,8:00p,Oklahoma City Thunder,95.0,114.0,1,2,L 1,20923,2:09,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
4,2024-10-28,8:00p,Memphis Grizzlies,126.0,123.0,2,2,W 1,15906,2:09,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
5,2024-10-30,8:00p,Orlando Magic,102.0,99.0,3,2,W 2,19015,2:19,,W,Chicago Bulls,CHI,2025-03-11,,True,1.0
6,2024-11-01,7:30p,Brooklyn Nets,112.0,120.0,3,3,L 1,17977,2:07,,L,Chicago Bulls,CHI,2025-03-11,@,False,0.0
7,2024-11-04,8:30p,Utah Jazz,126.0,135.0,3,4,L 2,19621,2:22,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
8,2024-11-06,8:30p,Dallas Mavericks,99.0,119.0,3,5,L 3,20011,2:09,,L,Chicago Bulls,CHI,2025-03-11,@,False,0.0
9,2024-11-07,8:00p,Minnesota Timberwolves,119.0,135.0,3,6,L 4,19621,2:03,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
10,2024-11-09,7:30p,Atlanta Hawks,125.0,113.0,4,6,W 1,17826,2:17,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
11,2024-11-11,8:00p,Cleveland Cavaliers,113.0,119.0,4,7,L 1,20560,2:06,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
12,2024-11-13,7:30p,New York Knicks,124.0,123.0,5,7,W 1,19812,2:16,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
13,2024-11-15,7:30p,Cleveland Cavaliers,126.0,144.0,5,8,L 1,19432,2:11,In-Season Tournament,L,Chicago Bulls,CHI,2025-03-11,@,False,0.0
14,2024-11-17,7:00p,Houston Rockets,107.0,143.0,5,9,L 2,20667,2:08,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
15,2024-11-18,7:00p,Detroit Pistons,122.0,112.0,6,9,W 1,18022,2:09,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
16,2024-11-20,7:30p,Milwaukee Bucks,106.0,122.0,6,10,L 1,17341,2:18,,L,Chicago Bulls,CHI,2025-03-11,@,False,0.0
17,2024-11-22,8:00p,Atlanta Hawks,136.0,122.0,7,10,W 1,19979,2:08,In-Season Tournament,W,Chicago Bulls,CHI,2025-03-11,,True,1.0
18,2024-11-23,8:00p,Memphis Grizzlies,131.0,142.0,7,11,L 1,19449,2:07,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
19,2024-11-26,7:00p,Washington Wizards,127.0,108.0,8,11,W 1,15921,2:13,In-Season Tournament,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
20,2024-11-27,7:00p,Orlando Magic,119.0,133.0,8,12,L 1,18309,2:12,,L,Chicago Bulls,CHI,2025-03-11,@,False,0.0
21,2024-11-29,8:00p,Boston Celtics,129.0,138.0,8,13,L 2,19798,2:08,In-Season Tournament,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
22,2024-12-02,8:00p,Brooklyn Nets,128.0,102.0,9,13,W 1,19131,2:09,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
23,2024-12-05,8:00p,San Antonio Spurs,139.0,124.0,10,13,W 2,17720,2:22,,W,Chicago Bulls,CHI,2025-03-11,,True,1.0
24,2024-12-06,8:00p,Indiana Pacers,123.0,132.0,10,14,L 1,19544,2:00,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
25,2024-12-08,1:00p,Philadelphia 76ers,100.0,108.0,10,15,L 2,18837,2:10,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
26,2024-12-13,8:00p,Charlotte Hornets,109.0,95.0,11,15,W 1,19543,2:08,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
27,2024-12-16,7:30p,Toronto Raptors,122.0,121.0,12,15,W 2,16324,2:25,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
28,2024-12-19,7:30p,Boston Celtics,117.0,108.0,13,15,W 3,19156,2:06,,W,Chicago Bulls,CHI,2025-03-11,,True,1.0
29,2024-12-21,8:00p,Boston Celtics,98.0,123.0,13,16,L 1,19803,1:57,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
30,2024-12-23,8:00p,Milwaukee Bucks,91.0,112.0,13,17,L 2,21234,2:02,,L,Chicago Bulls,CHI,2025-03-11,@,False,0.0
31,2024-12-26,7:30p,Atlanta Hawks,133.0,141.0,13,18,L 3,17760,2:14,,L,Chicago Bulls,CHI,2025-03-11,,True,1.0
32,2024-12-28,8:00p,Milwaukee Bucks,116.0,111.0,14,18,W 1,21511,2:10,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
33,2024-12-30,7:00p,Charlotte Hornets,115.0,108.0,15,18,W 2,19197,2:24,,W,Chicago Bulls,CHI,2025-03-11,@,False,0.0
