G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-23,7:30p,Toronto Raptors,136.0,106.0,1,0,W 1,19800,2:18,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
2,2024-10-25,7:30p,Detroit Pistons,113.0,101.0,2,0,W 2,19432,2:10,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
3,2024-10-26,7:00p,Washington Wizards,135.0,116.0,3,0,W 3,15156,2:23,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
4,2024-10-28,7:30p,New York Knicks,110.0,104.0,4,0,W 4,19812,2:23,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
5,2024-10-30,7:00p,Los Angeles Lakers,134.0,110.0,5,0,W 5,19432,2:07,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
6,2024-11-01,7:00p,Orlando Magic,120.0,109.0,6,0,W 6,19432,2:20,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
7,2024-11-02,8:00p,Milwaukee Bucks,114.0,113.0,7,0,W 7,17341,2:15,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
8,2024-11-04,7:00p,Milwaukee Bucks,116.0,114.0,8,0,W 8,19432,2:02,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
9,2024-11-06,8:00p,New Orleans Pelicans,131.0,122.0,9,0,W 9,15694,2:11,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
10,2024-11-08,7:30p,Golden State Warriors,136.0,117.0,10,0,W 10,19432,2:10,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
11,2024-11-09,7:30p,Brooklyn Nets,105.0,100.0,11,0,W 11,19432,2:17,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
12,2024-11-11,8:00p,Chicago Bulls,119.0,113.0,12,0,W 12,20560,2:06,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
13,2024-11-13,7:30p,Philadelphia 76ers,114.0,106.0,13,0,W 13,19777,1:59,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
14,2024-11-15,7:30p,Chicago Bulls,144.0,126.0,14,0,W 14,19432,2:11,In-Season Tournament,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
15,2024-11-17,6:00p,Charlotte Hornets,128.0,114.0,15,0,W 15,19432,2:16,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
16,2024-11-19,7:00p,Boston Celtics,117.0,120.0,15,1,L 1,19156,2:16,In-Season Tournament,L,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
17,2024-11-20,7:30p,New Orleans Pelicans,128.0,100.0,16,1,W 1,19432,1:59,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
18,2024-11-24,7:30p,Toronto Raptors,122.0,108.0,17,1,W 2,19432,2:17,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
19,2024-11-27,7:00p,Atlanta Hawks,124.0,135.0,17,2,L 1,19432,2:18,,L,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
20,2024-11-29,2:30p,Atlanta Hawks,101.0,117.0,17,3,L 2,17881,2:12,In-Season Tournament,L,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
21,2024-12-01,6:00p,Boston Celtics,115.0,111.0,18,3,W 1,19432,2:16,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
22,2024-12-03,7:00p,Washington Wizards,118.0,87.0,19,3,W 2,19432,2:09,In-Season Tournament,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
23,2024-12-05,7:00p,Denver Nuggets,126.0,114.0,20,3,W 3,19432,2:05,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
24,2024-12-07,1:00p,Charlotte Hornets,116.0,102.0,21,3,W 4,18832,2:14,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
25,2024-12-08,6:00p,Miami Heat,113.0,122.0,21,4,L 1,19600,,,L,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
26,2024-12-13,7:00p,Washington Wizards,115.0,105.0,22,4,W 1,19432,2:15,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
27,2024-12-16,7:30p,Brooklyn Nets,130.0,101.0,23,4,W 2,16588,2:18,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
28,2024-12-20,7:30p,Milwaukee Bucks,124.0,101.0,24,4,W 3,19432,2:03,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
29,2024-12-21,8:00p,Philadelphia 76ers,126.0,99.0,25,4,W 4,19432,2:06,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
30,2024-12-23,7:00p,Utah Jazz,124.0,113.0,26,4,W 5,19432,2:09,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
31,2024-12-27,9:00p,Denver Nuggets,149.0,135.0,27,4,W 6,19952,2:14,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
32,2024-12-30,10:00p,Golden State Warriors,113.0,95.0,28,4,W 7,18064,2:10,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
33,2024-12-31,9:00p,Los Angeles Lakers,122.0,110.0,29,4,W 8,18997,2:03,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
34,2025-01-03,8:30p,Dallas Mavericks,134.0,122.0,30,4,W 9,20231,2:10,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
35,2025-01-05,6:00p,Charlotte Hornets,115.0,105.0,31,4,W 10,19432,2:06,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
36,2025-01-08,7:00p,Oklahoma City Thunder,129.0,122.0,32,4,W 11,19432,2:19,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
37,2025-01-09,7:00p,Toronto Raptors,132.0,126.0,33,4,W 12,19432,2:08,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
38,2025-01-12,6:00p,Indiana Pacers,93.0,108.0,33,5,L 1,19432,2:08,,L,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
39,2025-01-14,7:00p,Indiana Pacers,127.0,117.0,34,5,W 1,16035,2:26,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
40,2025-01-16,7:30p,Oklahoma City Thunder,114.0,134.0,34,6,L 1,18203,2:12,,L,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
41,2025-01-18,9:00p,Minnesota Timberwolves,124.0,117.0,35,6,W 1,18978,2:16,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
42,2025-01-20,3:30p,Phoenix Suns,118.0,92.0,36,6,W 2,19432,2:14,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
43,2025-01-22,8:00p,Houston Rockets,108.0,109.0,36,7,L 1,16719,2:16,,L,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
44,2025-01-24,7:00p,Philadelphia 76ers,129.0,132.0,36,8,L 2,19760,2:25,,L,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
45,2025-01-25,7:30p,Houston Rockets,131.0,135.0,36,9,L 3,19432,2:24,,L,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
46,2025-01-27,7:00p,Detroit Pistons,110.0,91.0,37,9,W 1,19432,2:07,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
47,2025-01-29,7:30p,Miami Heat,126.0,106.0,38,9,W 2,19600,2:00,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
48,2025-01-30,7:00p,Atlanta Hawks,137.0,115.0,39,9,W 3,19432,2:11,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
49,2025-02-02,3:30p,Dallas Mavericks,144.0,101.0,40,9,W 4,19432,1:59,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
50,2025-02-04,7:30p,Boston Celtics,105.0,112.0,40,10,L 1,19432,2:26,,L,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
51,2025-02-05,7:00p,Detroit Pistons,118.0,115.0,41,10,W 1,18734,2:34,,W,Cleveland Cavaliers,CLE,2025-03-11,,True,1.0
52,2025-02-07,7:00p,Washington Wizards,134.0,124.0,42,10,W 2,20385,2:19,,W,Cleveland Cavaliers,CLE,2025-03-11,@,False,0.0
