G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-24,7:30p,San Antonio Spurs,120.0,109.0,1,0,W 1,20373,2:18,,W,Dallas Mavericks,DAL,2025-03-11,,True,1.0
2,2024-10-26,10:00p,Phoenix Suns,102.0,114.0,1,1,L 1,17071,2:22,,L,Dallas Mavericks,DAL,2025-03-11,@,False,0.0
3,2024-10-28,8:30p,Utah Jazz,110.0,102.0,2,1,W 1,19811,2:16,,W,Dallas Mavericks,DAL,2025-03-11,,True,1.0
4,2024-10-29,7:30p,Minnesota Timberwolves,120.0,114.0,3,1,W 2,18978,2:24,,W,Dallas Mavericks,DAL,2025-03-11,@,False,0.0
5,2024-10-31,8:30p,Houston Rockets,102.0,108.0,3,2,L 1,20011,2:21,,L,Dallas Mavericks,DAL,2025-03-11,,True,1.0
6,2024-11-03,7:30p,Orlando Magic,108.0,85.0,4,2,W 1,19977,2:19,,W,Dallas Mavericks,DAL,2025-03-11,,True,1.0
7,2024-11-04,9:45p,Indiana Pacers,127.0,134.0,4,3,L 1,19613,2:12,,L,Dallas Mavericks,DAL,2025-03-11,,True,1.0
8,2024-11-06,8:30p,Chicago Bulls,119.0,99.0,5,3,W 1,20011,2:09,,W,Dallas Mavericks,DAL,2025-03-11,,True,1.0
9,2024-11-08,7:30p,Phoenix Suns,113.0,114.0,5,4,L 1,20277,2:21,,L,Dallas Mavericks,DAL,2025-03-11,,True,1.0
10,2024-11-10,8:00p,Denver Nuggets,120.0,122.0,5,5,L 2,19908,2:11,,L,Dallas Mavericks,DAL,2025-03-11,@,False,0.0
11,2024-11-12,10:00p,Golden State Warriors,117.0,120.0,5,6,L 3,18064,2:25,In-Season Tournament,L,Dallas Mavericks,DAL,2025-03-11,@,False,0.0
12,2024-11-14,9:00p,Utah Jazz,113.0,115.0,5,7,L 4,18175,2:10,,L,Dallas Mavericks,DAL,2025-03-11,@,False,0.0
13,2024-11-16,8:30p,San Antonio Spurs,110.0,93.0,6,7,W 1,20311,2:10,,W,Dallas Mavericks,DAL,2025-03-11,,True,1.0
