G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-24,10:00p,Oklahoma City Thunder,87.0,102.0,0,1,L 1,19786,2:10,,L,Denver Nuggets,DEN,2025-03-11,,True,1.0
2,2024-10-26,5:00p,Los Angeles Clippers,104.0,109.0,0,2,L 2,19691,2:23,,L,Denver Nuggets,DEN,2025-03-11,,True,1.0
3,2024-10-28,7:30p,Toronto Raptors,127.0,125.0,1,2,W 1,19082,2:35,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
4,2024-10-29,7:30p,Brooklyn Nets,144.0,139.0,2,2,W 2,17926,2:46,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
5,2024-11-01,9:30p,Minnesota Timberwolves,116.0,119.0,2,3,L 1,18978,2:25,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
6,2024-11-02,10:00p,Utah Jazz,129.0,103.0,3,3,W 1,19702,2:28,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
7,2024-11-04,10:00p,Toronto Raptors,121.0,119.0,4,3,W 2,19525,2:19,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
8,2024-11-06,9:00p,Oklahoma City Thunder,124.0,122.0,5,3,W 3,19522,2:19,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
9,2024-11-08,9:00p,Miami Heat,135.0,122.0,6,3,W 4,19621,2:11,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
10,2024-11-10,8:00p,Dallas Mavericks,122.0,120.0,7,3,W 5,19908,2:11,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
11,2024-11-15,8:00p,New Orleans Pelicans,94.0,101.0,7,4,L 1,16137,2:04,In-Season Tournament,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
12,2024-11-17,6:00p,Memphis Grizzlies,90.0,105.0,7,5,L 2,16351,2:12,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
13,2024-11-19,8:00p,Memphis Grizzlies,122.0,110.0,8,5,W 1,15377,2:25,In-Season Tournament,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
14,2024-11-22,10:00p,Dallas Mavericks,120.0,123.0,8,6,L 1,19923,2:29,In-Season Tournament,L,Denver Nuggets,DEN,2025-03-11,,True,1.0
15,2024-11-23,10:30p,Los Angeles Lakers,127.0,102.0,9,6,W 1,18997,2:05,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
16,2024-11-25,9:00p,New York Knicks,118.0,145.0,9,7,L 1,19842,,,L,Denver Nuggets,DEN,2025-03-11,,True,1.0
17,2024-11-27,9:00p,Utah Jazz,122.0,103.0,10,7,W 1,18175,2:05,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
18,2024-12-01,10:00p,Los Angeles Clippers,122.0,126.0,10,8,L 1,16182,2:16,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
19,2024-12-03,10:00p,Golden State Warriors,119.0,115.0,11,8,W 1,19912,2:26,In-Season Tournament,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
20,2024-12-05,7:00p,Cleveland Cavaliers,114.0,126.0,11,9,L 1,19432,2:05,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
21,2024-12-07,7:00p,Washington Wizards,113.0,122.0,11,10,L 2,16182,2:22,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
22,2024-12-08,6:00p,Atlanta Hawks,141.0,111.0,12,10,W 1,16137,2:14,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
23,2024-12-13,9:00p,Los Angeles Clippers,120.0,98.0,13,10,W 2,19779,2:13,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
24,2024-12-16,10:00p,Sacramento Kings,130.0,129.0,14,10,W 3,16936,2:19,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
25,2024-12-19,10:00p,Portland Trail Blazers,124.0,126.0,14,11,L 1,16753,2:14,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
26,2024-12-22,7:00p,New Orleans Pelicans,132.0,129.0,15,11,W 1,17474,2:39,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
27,2024-12-23,10:00p,Phoenix Suns,117.0,90.0,16,11,W 2,19910,2:05,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
28,2024-12-25,10:30p,Phoenix Suns,100.0,110.0,16,12,L 1,17071,2:15,,L,Denver Nuggets,DEN,2025-03-11,,True,1.0
29,2024-12-27,9:00p,Cleveland Cavaliers,135.0,149.0,16,13,L 2,19952,2:14,,L,Denver Nuggets,DEN,2025-03-11,,True,1.0
30,2024-12-28,9:00p,Detroit Pistons,134.0,121.0,17,13,W 1,19876,2:19,,W,Denver Nuggets,DEN,2025-03-11,@,False,0.0
31,2024-12-30,9:00p,Utah Jazz,132.0,121.0,18,13,W 2,18175,2:06,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
32,2025-01-01,9:00p,Atlanta Hawks,139.0,120.0,19,13,W 3,19902,2:08,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
33,2025-01-03,9:00p,San Antonio Spurs,110.0,113.0,19,14,L 1,19922,2:02,,L,Denver Nuggets,DEN,2025-03-11,@,False,0.0
34,2025-01-04,8:00p,San Antonio Spurs,122.0,111.0,20,14,W 1,19038,2:31,,W,Denver Nuggets,DEN,2025-03-11,,True,1.0
35,2025-01-07,10:00p,Boston Celtics,106.0,118.0,20,15,L 1,19904,2:16,,L,Denver Nuggets,DEN,2025-03-11,,True,1.0
