G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
1,2024-10-23,7:00p,Indiana Pacers,109.0,115.0,0,1,L 1,20062,2:23,,L,Detroit Pistons,DET,2025-03-11
2,2024-10-25,7:30p,Cleveland Cavaliers,101.0,113.0,0,2,L 2,19432,2:10,,L,Detroit Pistons,DET,2025-03-11
3,2024-10-26,7:00p,Boston Celtics,118.0,124.0,0,3,L 3,19311,2:18,,L,Detroit Pistons,DET,2025-03-11
4,2024-10-28,7:30p,Miami Heat,98.0,106.0,0,4,L 4,19626,2:18,,L,Detroit Pistons,DET,2025-03-11
5,2024-10-30,7:00p,Philadelphia 76ers,105.0,95.0,1,4,W 1,19759,2:15,,W,Detroit Pistons,DET,2025-03-11
6,2024-11-01,7:00p,New York Knicks,98.0,128.0,1,5,L 1,17022,1:55,,L,Detroit Pistons,DET,2025-03-11
7,2024-11-03,3:30p,Brooklyn Nets,106.0,92.0,2,5,W 1,17086,2:22,,W,Detroit Pistons,DET,2025-03-11
8,2024-11-04,7:30p,Los Angeles Lakers,115.0,103.0,3,5,W 2,20062,2:15,,W,Detroit Pistons,DET,2025-03-11
9,2024-11-06,7:00p,Charlotte Hornets,107.0,108.0,3,6,L 1,13247,2:11,,L,Detroit Pistons,DET,2025-03-11
10,2024-11-08,7:00p,Atlanta Hawks,122.0,121.0,4,6,W 1,17913,2:19,,W,Detroit Pistons,DET,2025-03-11
11,2024-11-10,3:00p,Houston Rockets,99.0,101.0,4,7,L 1,18744,2:21,,L,Detroit Pistons,DET,2025-03-11
12,2024-11-12,7:00p,Miami Heat,123.0,121.0,5,7,W 1,17806,2:36,In-Season Tournament,W,Detroit Pistons,DET,2025-03-11
13,2024-11-13,8:00p,Milwaukee Bucks,120.0,127.0,5,8,L 1,17341,2:43,,L,Detroit Pistons,DET,2025-03-11
14,2024-11-15,7:00p,Toronto Raptors,99.0,95.0,6,8,W 1,19245,2:20,In-Season Tournament,W,Detroit Pistons,DET,2025-03-11
15,2024-11-17,6:00p,Washington Wizards,124.0,104.0,7,8,W 2,14789,2:08,,W,Detroit Pistons,DET,2025-03-11
16,2024-11-18,7:00p,Chicago Bulls,112.0,122.0,7,9,L 1,18022,2:09,,L,Detroit Pistons,DET,2025-03-11
17,2024-11-21,7:00p,Charlotte Hornets,121.0,123.0,7,10,L 2,14671,2:39,,L,Detroit Pistons,DET,2025-03-11
18,2024-11-23,7:00p,Orlando Magic,100.0,111.0,7,11,L 3,19094,2:13,,L,Detroit Pistons,DET,2025-03-11
19,2024-11-25,7:00p,Toronto Raptors,102.0,100.0,8,11,W 1,18421,2:24,,W,Detroit Pistons,DET,2025-03-11
20,2024-11-27,8:00p,Memphis Grizzlies,111.0,131.0,8,12,L 1,16261,2:11,,L,Detroit Pistons,DET,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Detroit Pistons,DET,2025-03-11
21,2024-11-29,8:00p,Indiana Pacers,130.0,106.0,9,12,W 1,17274,2:11,In-Season Tournament,W,Detroit Pistons,DET,2025-03-11
22,2024-11-30,7:00p,Philadelphia 76ers,96.0,111.0,9,13,L 1,22062,2:12,,L,Detroit Pistons,DET,2025-03-11
23,2024-12-03,7:00p,Milwaukee Bucks,107.0,128.0,9,14,L 2,17988,2:10,In-Season Tournament,L,Detroit Pistons,DET,2025-03-11
24,2024-12-04,7:30p,Boston Celtics,120.0,130.0,9,15,L 3,19156,2:12,,L,Detroit Pistons,DET,2025-03-11
25,2024-12-07,7:30p,New York Knicks,120.0,111.0,10,15,W 1,19812,2:15,,W,Detroit Pistons,DET,2025-03-11
26,2024-12-12,7:30p,Boston Celtics,99.0,123.0,10,16,L 1,19156,1:57,,L,Detroit Pistons,DET,2025-03-11
27,2024-12-16,7:00p,Miami Heat,125.0,124.0,11,16,W 1,17810,2:35,,W,Detroit Pistons,DET,2025-03-11
28,2024-12-19,7:00p,Utah Jazz,119.0,126.0,11,17,L 1,18022,2:32,,L,Detroit Pistons,DET,2025-03-11
29,2024-12-21,9:00p,Phoenix Suns,133.0,125.0,12,17,W 1,17071,2:22,,W,Detroit Pistons,DET,2025-03-11
30,2024-12-23,10:30p,Los Angeles Lakers,117.0,114.0,13,17,W 2,18997,2:11,,W,Detroit Pistons,DET,2025-03-11
31,2024-12-26,10:00p,Sacramento Kings,114.0,113.0,14,17,W 3,17832,2:22,,W,Detroit Pistons,DET,2025-03-11
32,2024-12-28,9:00p,Denver Nuggets,121.0,134.0,14,18,L 1,19876,2:19,,L,Detroit Pistons,DET,2025-03-11
