G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
1,2024-10-23,7:00p,Detroit Pistons,115.0,109.0,1,0,W 1,20062,2:23,,W,Indiana Pacers,IND,2025-03-11
2,2024-10-25,7:30p,New York Knicks,98.0,123.0,1,1,L 1,19812,2:21,,L,Indiana Pacers,IND,2025-03-11
3,2024-10-27,3:30p,Philadelphia 76ers,114.0,118.0,1,2,L 2,17274,2:52,,L,Indiana Pacers,IND,2025-03-11
4,2024-10-28,7:00p,Orlando Magic,115.0,119.0,1,3,L 3,18846,2:31,,L,Indiana Pacers,IND,2025-03-11
5,2024-10-30,7:00p,Boston Celtics,135.0,132.0,2,3,W 1,17274,2:37,,W,Indiana Pacers,IND,2025-03-11
6,2024-11-01,8:00p,New Orleans Pelicans,118.0,125.0,2,4,L 1,15133,2:10,,L,Indiana Pacers,IND,2025-03-11
7,2024-11-04,9:45p,Dallas Mavericks,134.0,127.0,3,4,W 1,19613,2:12,,W,Indiana Pacers,IND,2025-03-11
8,2024-11-06,7:00p,Orlando Magic,118.0,111.0,4,4,W 2,16218,2:20,,W,Indiana Pacers,IND,2025-03-11
9,2024-11-08,7:00p,Charlotte Hornets,83.0,103.0,4,5,L 1,17024,2:13,,L,Indiana Pacers,IND,2025-03-11
10,2024-11-10,5:00p,New York Knicks,132.0,121.0,5,5,W 1,17274,2:22,,W,Indiana Pacers,IND,2025-03-11
11,2024-11-13,7:00p,Orlando Magic,90.0,94.0,5,6,L 1,17087,2:10,,L,Indiana Pacers,IND,2025-03-11
12,2024-11-15,7:00p,Miami Heat,111.0,124.0,5,7,L 2,17274,2:10,In-Season Tournament,L,Indiana Pacers,IND,2025-03-11
13,2024-11-17,5:00p,Miami Heat,119.0,110.0,6,7,W 1,16184,2:15,,W,Indiana Pacers,IND,2025-03-11
14,2024-11-18,7:30p,Toronto Raptors,119.0,130.0,6,8,L 1,19025,2:16,,L,Indiana Pacers,IND,2025-03-11
15,2024-11-20,8:00p,Houston Rockets,113.0,130.0,6,9,L 2,16087,2:18,,L,Indiana Pacers,IND,2025-03-11
16,2024-11-22,8:00p,Milwaukee Bucks,117.0,129.0,6,10,L 3,17341,2:16,In-Season Tournament,L,Indiana Pacers,IND,2025-03-11
17,2024-11-24,5:00p,Washington Wizards,115.0,103.0,7,10,W 1,17274,2:11,,W,Indiana Pacers,IND,2025-03-11
18,2024-11-25,7:00p,New Orleans Pelicans,114.0,110.0,8,10,W 2,16059,2:10,,W,Indiana Pacers,IND,2025-03-11
