G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-23,10:00p,Phoenix Suns,113.0,116.0,0,1,L 1,18300,2:45,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
2,2024-10-26,5:00p,Denver Nuggets,109.0,104.0,1,1,W 1,19691,2:23,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
3,2024-10-27,8:30p,Golden State Warriors,112.0,104.0,2,1,W 2,18064,2:22,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
4,2024-10-30,10:30p,Portland Trail Blazers,105.0,106.0,2,2,L 1,16727,2:11,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
5,2024-10-31,10:30p,Phoenix Suns,119.0,125.0,2,3,L 2,16827,2:15,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
6,2024-11-02,10:30p,Oklahoma City Thunder,92.0,105.0,2,4,L 3,16827,2:11,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
7,2024-11-04,10:30p,San Antonio Spurs,113.0,104.0,3,4,W 1,15927,2:05,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
8,2024-11-06,10:00p,Philadelphia 76ers,110.0,98.0,4,4,W 2,15627,2:21,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
9,2024-11-08,10:00p,Sacramento Kings,107.0,98.0,5,4,W 3,17832,2:26,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
10,2024-11-09,10:30p,Toronto Raptors,105.0,103.0,6,4,W 4,17927,2:23,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
11,2024-11-11,8:00p,Oklahoma City Thunder,128.0,134.0,6,5,L 1,17430,2:25,,L,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
12,2024-11-13,8:00p,Houston Rockets,103.0,111.0,6,6,L 2,16493,2:06,,L,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
13,2024-11-15,8:00p,Houston Rockets,104.0,125.0,6,7,L 3,18055,2:13,In-Season Tournament,L,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
14,2024-11-17,9:00p,Utah Jazz,116.0,105.0,7,7,W 1,15500,2:02,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
15,2024-11-18,10:30p,Golden State Warriors,102.0,99.0,8,7,W 2,17927,2:11,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
16,2024-11-20,10:30p,Orlando Magic,104.0,93.0,9,7,W 3,16563,2:16,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
17,2024-11-22,10:30p,Sacramento Kings,104.0,88.0,10,7,W 4,16228,,In-Season Tournament,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
18,2024-11-24,6:00p,Philadelphia 76ers,125.0,99.0,11,7,W 5,19780,2:13,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
19,2024-11-25,7:30p,Boston Celtics,94.0,126.0,11,8,L 1,19156,1:58,,L,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
20,2024-11-27,7:00p,Washington Wizards,121.0,96.0,12,8,W 1,15066,2:12,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
21,2024-11-29,7:30p,Minnesota Timberwolves,92.0,93.0,12,9,L 1,18978,2:10,In-Season Tournament,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
22,2024-12-01,10:00p,Denver Nuggets,126.0,122.0,13,9,W 1,16182,2:16,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
23,2024-12-03,10:30p,Portland Trail Blazers,127.0,105.0,14,9,W 2,15583,2:06,In-Season Tournament,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
24,2024-12-04,10:30p,Minnesota Timberwolves,80.0,108.0,14,10,L 1,15111,2:02,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
25,2024-12-08,9:00p,Houston Rockets,106.0,117.0,14,11,L 2,14782,2:13,,L,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
26,2024-12-13,9:00p,Denver Nuggets,98.0,120.0,14,12,L 3,19779,2:13,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
27,2024-12-16,10:30p,Utah Jazz,144.0,107.0,15,12,W 1,14651,2:16,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
28,2024-12-19,8:30p,Dallas Mavericks,118.0,95.0,16,12,W 2,20044,2:14,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
29,2024-12-21,8:30p,Dallas Mavericks,97.0,113.0,16,13,L 1,20102,2:10,,L,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
30,2024-12-23,8:00p,Memphis Grizzlies,114.0,110.0,17,13,W 1,17265,2:26,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
31,2024-12-27,10:00p,Golden State Warriors,102.0,92.0,18,13,W 2,17927,2:17,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
32,2024-12-30,8:00p,New Orleans Pelicans,116.0,113.0,19,13,W 3,17303,2:27,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
33,2024-12-31,7:00p,San Antonio Spurs,86.0,122.0,19,14,L 1,18690,2:03,,L,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
34,2025-01-02,8:00p,Oklahoma City Thunder,98.0,116.0,19,15,L 2,18203,2:04,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
35,2025-01-04,10:30p,Atlanta Hawks,131.0,105.0,20,15,W 1,17927,2:02,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
36,2025-01-06,8:00p,Minnesota Timberwolves,106.0,108.0,20,16,L 1,18978,2:17,,L,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
37,2025-01-08,9:00p,Denver Nuggets,103.0,126.0,20,17,L 2,19711,2:11,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
38,2025-01-13,10:30p,Miami Heat,109.0,98.0,21,17,W 1,13119,2:02,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
39,2025-01-15,10:30p,Brooklyn Nets,126.0,67.0,22,17,W 2,13091,2:17,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
40,2025-01-16,10:00p,Portland Trail Blazers,118.0,89.0,23,17,W 3,16374,2:09,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
41,2025-01-19,9:00p,Los Angeles Lakers,116.0,102.0,24,17,W 4,17927,2:07,,W,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
42,2025-01-20,10:30p,Chicago Bulls,99.0,112.0,24,18,L 1,15293,2:15,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
43,2025-01-22,10:30p,Boston Celtics,113.0,117.0,24,19,L 2,15342,2:40,,L,Los Angeles Clippers,LAC,2025-03-11,,True,1.0
44,2025-01-23,10:30p,Washington Wizards,110.0,93.0,25,19,W 1,13771,2:11,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
45,2025-01-25,10:30p,Milwaukee Bucks,127.0,117.0,26,19,W 2,17927,2:22,,W,Los Angeles Clippers,LAC,2025-03-11,@,False,0.0
