G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-22,10:00p,Minnesota Timberwolves,110.0,103.0,1,0,W 1,18997,2:26,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
2,2024-10-25,10:00p,Phoenix Suns,123.0,116.0,2,0,W 2,18997,2:17,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
3,2024-10-26,10:30p,Sacramento Kings,131.0,127.0,3,0,W 3,18997,2:18,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
4,2024-10-28,10:00p,Phoenix Suns,105.0,109.0,3,1,L 1,17071,2:17,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
5,2024-10-30,7:00p,Cleveland Cavaliers,110.0,134.0,3,2,L 2,19432,2:07,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
6,2024-11-01,7:30p,Toronto Raptors,131.0,125.0,4,2,W 1,19800,2:25,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
7,2024-11-04,7:30p,Detroit Pistons,103.0,115.0,4,3,L 1,20062,2:15,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
8,2024-11-06,8:00p,Memphis Grizzlies,114.0,131.0,4,4,L 2,17794,2:11,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
9,2024-11-08,10:00p,Philadelphia 76ers,116.0,106.0,5,4,W 1,18485,2:15,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
10,2024-11-10,9:30p,Toronto Raptors,123.0,103.0,6,4,W 2,18997,2:25,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
11,2024-11-13,10:00p,Memphis Grizzlies,128.0,123.0,7,4,W 3,18997,2:31,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
12,2024-11-15,7:30p,San Antonio Spurs,120.0,115.0,8,4,W 4,18916,2:18,In-Season Tournament,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
13,2024-11-16,8:00p,New Orleans Pelicans,104.0,99.0,9,4,W 5,18761,2:12,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
14,2024-11-19,10:30p,Utah Jazz,124.0,118.0,10,4,W 6,18997,2:16,In-Season Tournament,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
15,2024-11-21,10:30p,Orlando Magic,118.0,119.0,10,5,L 1,18997,2:21,,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
16,2024-11-23,10:30p,Denver Nuggets,102.0,127.0,10,6,L 2,18997,2:05,,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
17,2024-11-26,10:00p,Phoenix Suns,100.0,127.0,10,7,L 3,17071,2:18,In-Season Tournament,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
18,2024-11-27,8:30p,San Antonio Spurs,119.0,101.0,11,7,W 1,19120,2:05,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
19,2024-11-29,10:00p,Oklahoma City Thunder,93.0,101.0,11,8,L 1,18997,2:16,In-Season Tournament,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
20,2024-12-01,8:00p,Utah Jazz,105.0,104.0,12,8,W 1,18175,2:09,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
21,2024-12-02,8:00p,Minnesota Timberwolves,80.0,109.0,12,9,L 1,18978,2:03,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
22,2024-12-04,7:30p,Miami Heat,93.0,134.0,12,10,L 2,19657,1:59,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
23,2024-12-06,7:30p,Atlanta Hawks,132.0,134.0,12,11,L 3,18040,2:42,,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
24,2024-12-08,9:30p,Portland Trail Blazers,107.0,98.0,13,11,W 1,18997,2:07,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
25,2024-12-13,8:00p,Minnesota Timberwolves,87.0,97.0,13,12,L 1,18978,2:08,,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
26,2024-12-15,9:30p,Memphis Grizzlies,116.0,110.0,14,12,W 1,15106,2:34,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
27,2024-12-19,10:00p,Sacramento Kings,113.0,100.0,15,12,W 2,17832,2:18,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
28,2024-12-21,6:00p,Sacramento Kings,103.0,99.0,16,12,W 3,17832,2:13,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
29,2024-12-23,10:30p,Detroit Pistons,114.0,117.0,16,13,L 1,18997,2:11,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
30,2024-12-25,8:00p,Golden State Warriors,115.0,113.0,17,13,W 1,18064,2:25,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
31,2024-12-28,10:30p,Sacramento Kings,132.0,122.0,18,13,W 2,18997,2:15,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
32,2024-12-31,9:00p,Cleveland Cavaliers,110.0,122.0,18,14,L 1,18997,2:03,,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
33,2025-01-02,10:30p,Portland Trail Blazers,114.0,106.0,19,14,W 1,17812,2:09,,W,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
34,2025-01-03,10:30p,Atlanta Hawks,119.0,102.0,20,14,W 2,18997,2:10,,W,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
35,2025-01-05,7:00p,Houston Rockets,115.0,119.0,20,15,L 1,18055,2:16,,L,Los Angeles Lakers,LAL,2025-03-11,@,False,0.0
36,2025-01-07,7:30p,Dallas Mavericks,97.0,118.0,20,16,L 2,20126,2:09,,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
37,2025-01-13,10:30p,San Antonio Spurs,102.0,126.0,20,17,L 3,18737,2:14,,L,Los Angeles Lakers,LAL,2025-03-11,,True,1.0
