G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
1,2024-10-23,9:00p,Utah Jazz,126.0,124.0,1,0,W 1,18175,2:33,,W,Memphis Grizzlies,MEM,2025-03-11
2,2024-10-25,8:00p,Houston Rockets,108.0,128.0,1,1,L 1,18055,2:31,,L,Memphis Grizzlies,MEM,2025-03-11
3,2024-10-26,8:00p,Orlando Magic,124.0,111.0,2,1,W 1,17809,2:16,,W,Memphis Grizzlies,MEM,2025-03-11
4,2024-10-28,8:00p,Chicago Bulls,123.0,126.0,2,2,L 1,15906,2:09,,L,Memphis Grizzlies,MEM,2025-03-11
5,2024-10-30,8:00p,Brooklyn Nets,106.0,119.0,2,3,L 2,14745,2:26,,L,Memphis Grizzlies,MEM,2025-03-11
6,2024-10-31,8:00p,Milwaukee Bucks,122.0,99.0,3,3,W 1,15377,2:12,,W,Memphis Grizzlies,MEM,2025-03-11
7,2024-11-02,7:30p,Philadelphia 76ers,124.0,107.0,4,3,W 2,20066,2:12,,W,Memphis Grizzlies,MEM,2025-03-11
8,2024-11-04,8:00p,Brooklyn Nets,104.0,106.0,4,4,L 1,18088,2:14,,L,Memphis Grizzlies,MEM,2025-03-11
9,2024-11-06,8:00p,Los Angeles Lakers,131.0,114.0,5,4,W 1,17794,2:11,,W,Memphis Grizzlies,MEM,2025-03-11
10,2024-11-08,8:00p,Washington Wizards,128.0,104.0,6,4,W 2,16216,2:23,,W,Memphis Grizzlies,MEM,2025-03-11
11,2024-11-10,9:00p,Portland Trail Blazers,134.0,89.0,7,4,W 3,18477,2:05,,W,Memphis Grizzlies,MEM,2025-03-11
12,2024-11-13,10:00p,Los Angeles Lakers,123.0,128.0,7,5,L 1,18997,2:31,,L,Memphis Grizzlies,MEM,2025-03-11
13,2024-11-15,10:00p,Golden State Warriors,118.0,123.0,7,6,L 2,18064,2:35,In-Season Tournament,L,Memphis Grizzlies,MEM,2025-03-11
14,2024-11-17,6:00p,Denver Nuggets,105.0,90.0,8,6,W 1,16351,2:12,,W,Memphis Grizzlies,MEM,2025-03-11
15,2024-11-19,8:00p,Denver Nuggets,110.0,122.0,8,7,L 1,15377,2:25,In-Season Tournament,L,Memphis Grizzlies,MEM,2025-03-11
16,2024-11-20,8:00p,Philadelphia 76ers,117.0,111.0,9,7,W 1,15533,2:19,,W,Memphis Grizzlies,MEM,2025-03-11
17,2024-11-23,8:00p,Chicago Bulls,142.0,131.0,10,7,W 2,19449,2:07,,W,Memphis Grizzlies,MEM,2025-03-11
