G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
1,2024-10-23,7:30p,Orlando Magic,97.0,116.0,0,1,L 1,19630,2:31,,L,Miami Heat,MIA,2025-03-11
2,2024-10-26,7:00p,Charlotte Hornets,114.0,106.0,1,1,W 1,19102,2:23,,W,Miami Heat,MIA,2025-03-11
3,2024-10-28,7:30p,Detroit Pistons,106.0,98.0,2,1,W 2,19626,2:18,,W,Miami Heat,MIA,2025-03-11
4,2024-10-30,7:30p,New York Knicks,107.0,116.0,2,2,L 1,19620,2:10,,L,Miami Heat,MIA,2025-03-11
5,2024-11-02,9:30p,Washington Wizards,118.0,98.0,3,2,W 1,20328,2:16,,W,Miami Heat,MIA,2025-03-11
6,2024-11-04,8:15p,Sacramento Kings,110.0,111.0,3,3,L 1,19604,2:20,,L,Miami Heat,MIA,2025-03-11
7,2024-11-06,9:00p,Phoenix Suns,112.0,115.0,3,4,L 2,17071,2:20,,L,Miami Heat,MIA,2025-03-11
8,2024-11-08,9:00p,Denver Nuggets,122.0,135.0,3,5,L 3,19621,2:11,,L,Miami Heat,MIA,2025-03-11
9,2024-11-10,7:00p,Minnesota Timberwolves,95.0,94.0,4,5,W 1,18978,2:28,,W,Miami Heat,MIA,2025-03-11
10,2024-11-12,7:00p,Detroit Pistons,121.0,123.0,4,6,L 1,17806,2:36,In-Season Tournament,L,Miami Heat,MIA,2025-03-11
11,2024-11-15,7:00p,Indiana Pacers,124.0,111.0,5,6,W 1,17274,2:10,In-Season Tournament,W,Miami Heat,MIA,2025-03-11
12,2024-11-17,5:00p,Indiana Pacers,110.0,119.0,5,7,L 1,16184,2:15,,L,Miami Heat,MIA,2025-03-11
13,2024-11-18,7:30p,Philadelphia 76ers,106.0,89.0,6,7,W 1,19608,2:10,,W,Miami Heat,MIA,2025-03-11
14,2024-11-24,6:00p,Dallas Mavericks,123.0,118.0,7,7,W 2,19714,2:30,,W,Miami Heat,MIA,2025-03-11
15,2024-11-26,7:30p,Milwaukee Bucks,103.0,106.0,7,8,L 1,19622,2:21,In-Season Tournament,L,Miami Heat,MIA,2025-03-11
