G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-22,7:30p,Boston Celtics,109.0,132.0,0,1,L 1,19156,2:04,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
2,2024-10-25,7:30p,Indiana Pacers,123.0,98.0,1,1,W 1,19812,2:21,,W,New York Knicks,NYK,2025-03-11,,True,1.0
3,2024-10-28,7:30p,Cleveland Cavaliers,104.0,110.0,1,2,L 1,19812,2:23,,L,New York Knicks,NYK,2025-03-11,,True,1.0
4,2024-10-30,7:30p,Miami Heat,116.0,107.0,2,2,W 1,19620,2:10,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
5,2024-11-01,7:00p,Detroit Pistons,128.0,98.0,3,2,W 2,17022,1:55,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
6,2024-11-04,8:45p,Houston Rockets,97.0,109.0,3,3,L 1,16417,2:08,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
7,2024-11-06,7:30p,Atlanta Hawks,116.0,121.0,3,4,L 2,16072,2:16,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
8,2024-11-08,7:30p,Milwaukee Bucks,116.0,94.0,4,4,W 1,19812,2:07,,W,New York Knicks,NYK,2025-03-11,,True,1.0
9,2024-11-10,5:00p,Indiana Pacers,121.0,132.0,4,5,L 1,17274,2:22,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
10,2024-11-12,7:30p,Philadelphia 76ers,111.0,99.0,5,5,W 1,19758,2:24,In-Season Tournament,W,New York Knicks,NYK,2025-03-11,@,False,0.0
11,2024-11-13,7:30p,Chicago Bulls,123.0,124.0,5,6,L 1,19812,2:16,,L,New York Knicks,NYK,2025-03-11,,True,1.0
12,2024-11-15,7:30p,Brooklyn Nets,124.0,122.0,6,6,W 1,19812,2:43,In-Season Tournament,W,New York Knicks,NYK,2025-03-11,,True,1.0
13,2024-11-17,7:00p,Brooklyn Nets,114.0,104.0,7,6,W 2,19812,2:20,,W,New York Knicks,NYK,2025-03-11,,True,1.0
14,2024-11-18,7:30p,Washington Wizards,134.0,106.0,8,6,W 3,19812,2:00,,W,New York Knicks,NYK,2025-03-11,,True,1.0
15,2024-11-20,10:00p,Phoenix Suns,138.0,122.0,9,6,W 4,17071,2:16,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
16,2024-11-23,5:00p,Utah Jazz,106.0,121.0,9,7,L 1,18175,2:07,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
17,2024-11-25,9:00p,Denver Nuggets,145.0,118.0,10,7,W 1,19842,,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
18,2024-11-27,7:30p,Dallas Mavericks,114.0,129.0,10,8,L 1,20413,2:17,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
19,2024-11-29,12:00p,Charlotte Hornets,99.0,98.0,11,8,W 1,19313,2:17,In-Season Tournament,W,New York Knicks,NYK,2025-03-11,@,False,0.0
20,2024-12-01,6:00p,New Orleans Pelicans,118.0,85.0,12,8,W 2,19812,2:03,,W,New York Knicks,NYK,2025-03-11,,True,1.0
21,2024-12-03,7:30p,Orlando Magic,121.0,106.0,13,8,W 3,19812,2:26,In-Season Tournament,W,New York Knicks,NYK,2025-03-11,,True,1.0
22,2024-12-05,7:30p,Charlotte Hornets,125.0,101.0,14,8,W 4,19812,2:08,,W,New York Knicks,NYK,2025-03-11,,True,1.0
23,2024-12-07,7:30p,Detroit Pistons,111.0,120.0,14,9,L 1,19812,2:15,,L,New York Knicks,NYK,2025-03-11,@,False,0.0
24,2024-12-09,7:30p,Toronto Raptors,113.0,108.0,15,9,W 1,18284,2:17,,W,New York Knicks,NYK,2025-03-11,,True,1.0
25,2024-12-11,7:00p,Atlanta Hawks,100.0,108.0,15,10,L 1,19812,2:13,In-Season Tournament,L,New York Knicks,NYK,2025-03-11,@,False,0.0
26,2024-12-15,6:00p,Orlando Magic,100.0,91.0,16,10,W 1,17029,2:22,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
27,2024-12-19,9:30p,Minnesota Timberwolves,133.0,107.0,17,10,W 2,18978,2:13,,W,New York Knicks,NYK,2025-03-11,@,False,0.0
28,2024-12-21,8:00p,New Orleans Pelicans,104.0,93.0,18,10,W 3,16696,2:07,,W,New York Knicks,NYK,2025-03-11,,True,1.0
29,2024-12-23,7:30p,Toronto Raptors,139.0,125.0,19,10,W 4,19812,2:19,,W,New York Knicks,NYK,2025-03-11,,True,1.0
