G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
1,2024-10-23,7:30p,Miami Heat,116.0,97.0,1,0,W 1,19630,2:31,,W,Orlando Magic,ORL,2025-03-11
2,2024-10-25,7:00p,Brooklyn Nets,116.0,101.0,2,0,W 2,19087,2:31,,W,Orlando Magic,ORL,2025-03-11
3,2024-10-26,8:00p,Memphis Grizzlies,111.0,124.0,2,1,L 1,17809,2:16,,L,Orlando Magic,ORL,2025-03-11
4,2024-10-28,7:00p,Indiana Pacers,119.0,115.0,3,1,W 1,18846,2:31,,W,Orlando Magic,ORL,2025-03-11
5,2024-10-30,8:00p,Chicago Bulls,99.0,102.0,3,2,L 1,19015,2:19,,L,Orlando Magic,ORL,2025-03-11
6,2024-11-01,7:00p,Cleveland Cavaliers,109.0,120.0,3,3,L 2,19432,2:20,,L,Orlando Magic,ORL,2025-03-11
7,2024-11-03,7:30p,Dallas Mavericks,85.0,108.0,3,4,L 3,19977,2:19,,L,Orlando Magic,ORL,2025-03-11
8,2024-11-04,9:15p,Oklahoma City Thunder,86.0,102.0,3,5,L 4,17044,2:15,,L,Orlando Magic,ORL,2025-03-11
9,2024-11-06,7:00p,Indiana Pacers,111.0,118.0,3,6,L 5,16218,2:20,,L,Orlando Magic,ORL,2025-03-11
10,2024-11-08,7:00p,New Orleans Pelicans,115.0,88.0,4,6,W 1,18565,2:07,,W,Orlando Magic,ORL,2025-03-11
11,2024-11-10,6:00p,Washington Wizards,121.0,94.0,5,6,W 2,18352,2:20,,W,Orlando Magic,ORL,2025-03-11
12,2024-11-12,7:00p,Charlotte Hornets,114.0,89.0,6,6,W 3,17541,2:12,In-Season Tournament,W,Orlando Magic,ORL,2025-03-11
13,2024-11-13,7:00p,Indiana Pacers,94.0,90.0,7,6,W 4,17087,2:10,,W,Orlando Magic,ORL,2025-03-11
14,2024-11-15,7:00p,Philadelphia 76ers,98.0,86.0,8,6,W 5,17843,2:25,In-Season Tournament,W,Orlando Magic,ORL,2025-03-11
15,2024-11-18,9:00p,Phoenix Suns,109.0,99.0,9,6,W 6,17071,2:21,,W,Orlando Magic,ORL,2025-03-11
16,2024-11-20,10:30p,Los Angeles Clippers,93.0,104.0,9,7,L 1,16563,2:16,,L,Orlando Magic,ORL,2025-03-11
17,2024-11-21,10:30p,Los Angeles Lakers,119.0,118.0,10,7,W 1,18997,2:21,,W,Orlando Magic,ORL,2025-03-11
18,2024-11-23,7:00p,Detroit Pistons,111.0,100.0,11,7,W 2,19094,2:13,,W,Orlando Magic,ORL,2025-03-11
19,2024-11-25,7:00p,Charlotte Hornets,95.0,84.0,12,7,W 3,14898,2:20,,W,Orlando Magic,ORL,2025-03-11
20,2024-11-27,7:00p,Chicago Bulls,133.0,119.0,13,7,W 4,18309,2:12,,W,Orlando Magic,ORL,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Orlando Magic,ORL,2025-03-11
21,2024-11-29,7:30p,Brooklyn Nets,123.0,100.0,14,7,W 5,18143,2:13,In-Season Tournament,W,Orlando Magic,ORL,2025-03-11
22,2024-12-01,3:30p,Brooklyn Nets,100.0,92.0,15,7,W 6,16505,2:36,,W,Orlando Magic,ORL,2025-03-11
23,2024-12-03,7:30p,New York Knicks,106.0,121.0,15,8,L 1,19812,2:26,In-Season Tournament,L,Orlando Magic,ORL,2025-03-11
24,2024-12-04,7:30p,Philadelphia 76ers,106.0,102.0,16,8,W 1,19851,2:21,,W,Orlando Magic,ORL,2025-03-11
25,2024-12-06,7:00p,Philadelphia 76ers,94.0,102.0,16,9,L 1,19802,2:24,,L,Orlando Magic,ORL,2025-03-11
26,2024-12-08,6:30p,Phoenix Suns,115.0,110.0,17,9,W 1,18311,2:23,,W,Orlando Magic,ORL,2025-03-11
27,2024-12-10,7:00p,Milwaukee Bucks,109.0,114.0,17,10,L 1,17341,2:35,In-Season Tournament,L,Orlando Magic,ORL,2025-03-11
28,2024-12-15,6:00p,New York Knicks,91.0,100.0,17,11,L 2,17029,2:22,,L,Orlando Magic,ORL,2025-03-11
29,2024-12-19,7:00p,Oklahoma City Thunder,99.0,105.0,17,12,L 3,18896,2:26,,L,Orlando Magic,ORL,2025-03-11
