G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-23,7:30p,Milwaukee Bucks,109.0,124.0,0,1,L 1,19754,2:28,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
2,2024-10-25,7:00p,Toronto Raptors,107.0,115.0,0,2,L 2,18345,2:47,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
3,2024-10-27,3:30p,Indiana Pacers,118.0,114.0,1,2,W 1,17274,2:52,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
4,2024-10-30,7:00p,Detroit Pistons,95.0,105.0,1,3,L 1,19759,2:15,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
5,2024-11-02,7:30p,Memphis Grizzlies,107.0,124.0,1,4,L 2,20066,2:12,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
6,2024-11-04,10:15p,Phoenix Suns,116.0,118.0,1,5,L 3,17071,2:18,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
7,2024-11-06,10:00p,Los Angeles Clippers,98.0,110.0,1,6,L 4,15627,2:21,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
8,2024-11-08,10:00p,Los Angeles Lakers,106.0,116.0,1,7,L 5,18485,2:15,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
9,2024-11-10,7:00p,Charlotte Hornets,107.0,105.0,2,7,W 1,19764,2:47,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
10,2024-11-12,7:30p,New York Knicks,99.0,111.0,2,8,L 1,19758,2:24,In-Season Tournament,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
11,2024-11-13,7:30p,Cleveland Cavaliers,106.0,114.0,2,9,L 2,19777,1:59,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
12,2024-11-15,7:00p,Orlando Magic,86.0,98.0,2,10,L 3,17843,2:25,In-Season Tournament,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
13,2024-11-18,7:30p,Miami Heat,89.0,106.0,2,11,L 4,19608,2:10,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
14,2024-11-20,8:00p,Memphis Grizzlies,111.0,117.0,2,12,L 5,15533,2:19,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
15,2024-11-22,7:00p,Brooklyn Nets,113.0,98.0,3,12,W 1,19817,2:06,In-Season Tournament,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
16,2024-11-24,6:00p,Los Angeles Clippers,99.0,125.0,3,13,L 1,19780,2:13,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
17,2024-11-27,7:00p,Houston Rockets,115.0,122.0,3,14,L 2,19765,2:40,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
18,2024-11-30,7:00p,Detroit Pistons,111.0,96.0,4,14,W 1,22062,2:12,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
19,2024-12-03,7:00p,Charlotte Hornets,110.0,104.0,5,14,W 2,14956,2:18,In-Season Tournament,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
20,2024-12-04,7:30p,Orlando Magic,102.0,106.0,5,15,L 1,19851,2:21,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
21,2024-12-06,7:00p,Orlando Magic,102.0,94.0,6,15,W 1,19802,2:24,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
22,2024-12-08,1:00p,Chicago Bulls,108.0,100.0,7,15,W 2,18837,2:10,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
23,2024-12-13,7:00p,Indiana Pacers,107.0,121.0,7,16,L 1,19771,2:17,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
24,2024-12-16,7:00p,Charlotte Hornets,121.0,108.0,8,16,W 1,14677,2:22,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
25,2024-12-20,7:00p,Charlotte Hornets,108.0,98.0,9,16,W 2,20291,2:16,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
26,2024-12-21,8:00p,Cleveland Cavaliers,99.0,126.0,9,17,L 1,19432,2:06,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
27,2024-12-23,7:00p,San Antonio Spurs,111.0,106.0,10,17,W 1,19986,2:20,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
28,2024-12-25,5:00p,Boston Celtics,118.0,114.0,11,17,W 2,19156,2:23,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
29,2024-12-28,9:30p,Utah Jazz,114.0,111.0,12,17,W 3,18175,2:31,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
30,2024-12-30,10:00p,Portland Trail Blazers,125.0,103.0,13,17,W 4,16721,2:27,,W,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
31,2025-01-01,10:00p,Sacramento Kings,107.0,113.0,13,18,L 1,16024,2:18,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
32,2025-01-02,10:00p,Golden State Warriors,105.0,139.0,13,19,L 2,18064,2:16,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
33,2025-01-04,6:00p,Brooklyn Nets,123.0,94.0,14,19,W 1,17926,2:16,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
34,2025-01-06,7:00p,Phoenix Suns,99.0,109.0,14,20,L 1,19791,2:16,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
35,2025-01-08,7:00p,Washington Wizards,109.0,103.0,15,20,W 1,19762,2:18,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
36,2025-01-10,7:00p,New Orleans Pelicans,115.0,123.0,15,21,L 1,19779,2:12,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
37,2025-01-12,6:00p,Orlando Magic,99.0,104.0,15,22,L 2,17723,2:35,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
38,2025-01-14,7:00p,Oklahoma City Thunder,102.0,118.0,15,23,L 3,19771,2:05,,L,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
39,2025-01-15,7:00p,New York Knicks,119.0,125.0,15,24,L 4,20088,2:34,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
