G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-23,10:00p,Los Angeles Clippers,116.0,113.0,1,0,W 1,18300,2:45,,W,Phoenix Suns,PHO,2025-03-11,@,False,0.0
2,2024-10-25,10:00p,Los Angeles Lakers,116.0,123.0,1,1,L 1,18997,2:17,,L,Phoenix Suns,PHO,2025-03-11,@,False,0.0
3,2024-10-26,10:00p,Dallas Mavericks,114.0,102.0,2,1,W 1,17071,2:22,,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
4,2024-10-28,10:00p,Los Angeles Lakers,109.0,105.0,3,1,W 2,17071,2:17,,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
5,2024-10-31,10:30p,Los Angeles Clippers,125.0,119.0,4,1,W 3,16827,2:15,,W,Phoenix Suns,PHO,2025-03-11,@,False,0.0
6,2024-11-02,10:00p,Portland Trail Blazers,103.0,97.0,5,1,W 4,17071,2:08,,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
7,2024-11-04,10:15p,Philadelphia 76ers,118.0,116.0,6,1,W 5,17071,2:18,,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
8,2024-11-06,9:00p,Miami Heat,115.0,112.0,7,1,W 6,17071,2:20,,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
9,2024-11-08,7:30p,Dallas Mavericks,114.0,113.0,8,1,W 7,20277,2:21,,W,Phoenix Suns,PHO,2025-03-11,@,False,0.0
10,2024-11-10,8:00p,Sacramento Kings,118.0,127.0,8,2,L 1,17071,2:31,,L,Phoenix Suns,PHO,2025-03-11,,True,1.0
11,2024-11-12,9:00p,Utah Jazz,120.0,112.0,9,2,W 1,18175,2:05,In-Season Tournament,W,Phoenix Suns,PHO,2025-03-11,@,False,0.0
12,2024-11-13,10:00p,Sacramento Kings,104.0,127.0,9,3,L 1,16204,2:02,,L,Phoenix Suns,PHO,2025-03-11,@,False,0.0
13,2024-11-15,8:00p,Oklahoma City Thunder,83.0,99.0,9,4,L 2,18203,2:17,In-Season Tournament,L,Phoenix Suns,PHO,2025-03-11,@,False,0.0
14,2024-11-17,3:30p,Minnesota Timberwolves,117.0,120.0,9,5,L 3,18978,2:16,,L,Phoenix Suns,PHO,2025-03-11,@,False,0.0
15,2024-11-18,9:00p,Orlando Magic,99.0,109.0,9,6,L 4,17071,2:21,,L,Phoenix Suns,PHO,2025-03-11,,True,1.0
16,2024-11-20,10:00p,New York Knicks,122.0,138.0,9,7,L 5,17071,2:16,,L,Phoenix Suns,PHO,2025-03-11,,True,1.0
17,2024-11-26,10:00p,Los Angeles Lakers,127.0,100.0,10,7,W 1,17071,2:18,In-Season Tournament,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
18,2024-11-27,9:00p,Brooklyn Nets,117.0,127.0,10,8,L 1,17071,2:23,,L,Phoenix Suns,PHO,2025-03-11,,True,1.0
19,2024-11-30,9:00p,Golden State Warriors,113.0,105.0,11,8,W 1,17071,2:11,,W,Phoenix Suns,PHO,2025-03-11,,True,1.0
