G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-23,10:00p,Golden State Warriors,104.0,140.0,0,1,L 1,19480,2:17,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
2,2024-10-25,10:00p,New Orleans Pelicans,103.0,105.0,0,2,L 2,16190,2:23,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
3,2024-10-27,6:00p,New Orleans Pelicans,125.0,103.0,1,2,W 1,16138,2:09,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
4,2024-10-28,10:00p,Sacramento Kings,98.0,111.0,1,3,L 1,16426,2:26,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
5,2024-10-30,10:30p,Los Angeles Clippers,106.0,105.0,2,3,W 1,16727,2:11,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
6,2024-11-01,10:00p,Oklahoma City Thunder,114.0,137.0,2,4,L 1,17815,2:11,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
7,2024-11-02,10:00p,Phoenix Suns,97.0,103.0,2,5,L 2,17071,2:08,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
8,2024-11-04,9:30p,New Orleans Pelicans,118.0,100.0,3,5,W 1,14932,2:07,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
9,2024-11-07,8:00p,San Antonio Spurs,105.0,118.0,3,6,L 1,17120,2:09,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
10,2024-11-08,9:00p,Minnesota Timberwolves,102.0,127.0,3,7,L 2,18978,2:08,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
11,2024-11-10,9:00p,Memphis Grizzlies,89.0,134.0,3,8,L 3,18477,2:05,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
12,2024-11-12,10:00p,Minnesota Timberwolves,122.0,108.0,4,8,W 1,16880,2:14,In-Season Tournament,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
13,2024-11-13,10:00p,Minnesota Timberwolves,106.0,98.0,5,8,W 2,17353,2:13,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
14,2024-11-17,6:00p,Atlanta Hawks,114.0,110.0,6,8,W 3,17384,2:25,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
15,2024-11-20,8:00p,Oklahoma City Thunder,99.0,109.0,6,9,L 1,17752,2:17,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
16,2024-11-22,8:00p,Houston Rockets,88.0,116.0,6,10,L 2,15546,2:10,In-Season Tournament,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
17,2024-11-23,8:00p,Houston Rockets,104.0,98.0,7,10,W 1,16102,2:28,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
18,2024-11-25,8:00p,Memphis Grizzlies,98.0,123.0,7,11,L 1,15796,2:16,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
19,2024-11-27,7:00p,Indiana Pacers,114.0,121.0,7,12,L 2,17274,2:15,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
20,2024-11-29,10:00p,Sacramento Kings,115.0,106.0,8,12,W 1,17565,2:12,In-Season Tournament,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
21,2024-12-01,9:00p,Dallas Mavericks,131.0,137.0,8,13,L 1,16205,2:11,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
22,2024-12-03,10:30p,Los Angeles Clippers,105.0,127.0,8,14,L 2,15583,2:06,In-Season Tournament,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
23,2024-12-06,10:00p,Utah Jazz,99.0,141.0,8,15,L 3,16446,2:07,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
24,2024-12-08,9:30p,Los Angeles Lakers,98.0,107.0,8,16,L 4,18997,2:07,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
25,2024-12-13,10:00p,San Antonio Spurs,116.0,118.0,8,17,L 5,17025,2:16,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
26,2024-12-15,8:00p,Phoenix Suns,109.0,116.0,8,18,L 6,17071,2:06,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
27,2024-12-19,10:00p,Denver Nuggets,126.0,124.0,9,18,W 1,16753,2:14,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
28,2024-12-21,8:30p,San Antonio Spurs,94.0,114.0,9,19,L 1,18354,2:06,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
29,2024-12-23,8:30p,Dallas Mavericks,108.0,132.0,9,20,L 2,20225,2:15,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
30,2024-12-26,10:00p,Utah Jazz,122.0,120.0,10,20,W 1,16934,2:07,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
31,2024-12-28,10:00p,Dallas Mavericks,126.0,122.0,11,20,W 2,19335,2:17,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
32,2024-12-30,10:00p,Philadelphia 76ers,103.0,125.0,11,21,L 1,16721,2:27,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
33,2025-01-02,10:30p,Los Angeles Lakers,106.0,114.0,11,22,L 2,17812,2:09,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
34,2025-01-04,8:00p,Milwaukee Bucks,105.0,102.0,12,22,W 1,17595,2:01,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
35,2025-01-06,7:00p,Detroit Pistons,115.0,118.0,12,23,L 1,16002,2:09,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
36,2025-01-08,8:00p,New Orleans Pelicans,119.0,100.0,13,23,W 1,16425,1:58,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
37,2025-01-09,7:30p,Dallas Mavericks,111.0,117.0,13,24,L 1,19241,2:15,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
38,2025-01-11,10:00p,Miami Heat,98.0,119.0,13,25,L 2,17505,2:08,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
39,2025-01-14,10:00p,Brooklyn Nets,114.0,132.0,13,26,L 3,16127,2:13,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
40,2025-01-16,10:00p,Los Angeles Clippers,89.0,118.0,13,27,L 4,16374,2:09,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
41,2025-01-18,10:00p,Houston Rockets,103.0,125.0,13,28,L 5,17077,2:05,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
42,2025-01-19,9:00p,Chicago Bulls,113.0,102.0,14,28,W 1,16976,2:18,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
43,2025-01-21,7:30p,Miami Heat,116.0,107.0,15,28,W 2,19600,2:08,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
44,2025-01-23,7:00p,Orlando Magic,101.0,79.0,16,28,W 3,19422,2:13,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
45,2025-01-24,7:00p,Charlotte Hornets,102.0,97.0,17,28,W 4,16228,2:20,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
46,2025-01-26,6:00p,Oklahoma City Thunder,108.0,118.0,17,29,L 1,17619,2:19,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
47,2025-01-28,10:00p,Milwaukee Bucks,125.0,112.0,18,29,W 1,17030,2:20,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
48,2025-01-30,10:00p,Orlando Magic,119.0,90.0,19,29,W 2,16217,2:19,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
49,2025-02-01,10:00p,Phoenix Suns,127.0,108.0,20,29,W 3,17421,2:11,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
50,2025-02-03,10:00p,Phoenix Suns,121.0,119.0,21,29,W 4,16205,2:34,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
51,2025-02-04,10:00p,Indiana Pacers,112.0,89.0,22,29,W 5,16005,2:10,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
52,2025-02-06,10:00p,Sacramento Kings,108.0,102.0,23,29,W 6,16953,2:08,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
53,2025-02-08,8:00p,Minnesota Timberwolves,98.0,114.0,23,30,L 1,18978,2:16,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
54,2025-02-10,9:00p,Denver Nuggets,117.0,146.0,23,31,L 2,19535,2:10,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
55,2025-02-12,9:00p,Denver Nuggets,121.0,132.0,23,32,L 3,19901,2:13,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
56,2025-02-20,10:00p,Los Angeles Lakers,102.0,110.0,23,33,L 4,19399,2:21,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
57,2025-02-22,10:00p,Charlotte Hornets,141.0,88.0,24,33,W 1,18501,2:04,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
58,2025-02-24,9:00p,Utah Jazz,114.0,112.0,25,33,W 2,18175,2:25,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
59,2025-02-26,7:00p,Washington Wizards,129.0,121.0,26,33,W 3,12943,2:29,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
60,2025-02-28,7:30p,Brooklyn Nets,121.0,102.0,27,33,W 4,18018,2:20,,W,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
61,2025-03-02,3:30p,Cleveland Cavaliers,129.0,133.0,27,34,L 1,19432,2:51,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
62,2025-03-03,7:00p,Philadelphia 76ers,119.0,102.0,28,34,W 1,19776,2:01,,W,Portland Trail Blazers,POR,2025-03-11,,True,1.0
63,2025-03-05,7:00p,Boston Celtics,118.0,128.0,28,35,L 1,19156,2:05,,L,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
64,2025-03-07,8:00p,Oklahoma City Thunder,89.0,107.0,28,36,L 2,17911,2:07,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
65,2025-03-09,9:00p,Detroit Pistons,112.0,119.0,28,37,L 3,19661,2:22,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
66,2025-03-10,10:00p,Golden State Warriors,120.0,130.0,28,38,L 4,18064,2:12,,L,Portland Trail Blazers,POR,2025-03-11,,True,1.0
67,2025-03-12,10:00p,New York Knicks,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
68,2025-03-16,6:00p,Toronto Raptors,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
69,2025-03-17,10:00p,Washington Wizards,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
70,2025-03-19,10:00p,Memphis Grizzlies,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
71,2025-03-21,10:00p,Denver Nuggets,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
72,2025-03-23,6:00p,Boston Celtics,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
73,2025-03-25,10:00p,Cleveland Cavaliers,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
74,2025-03-27,10:00p,Sacramento Kings,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
75,2025-03-30,6:00p,New York Knicks,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
76,2025-04-01,7:30p,Atlanta Hawks,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
77,2025-04-03,7:30p,Toronto Raptors,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
78,2025-04-04,8:00p,Chicago Bulls,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
79,2025-04-06,6:00p,San Antonio Spurs,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
80,2025-04-09,9:00p,Utah Jazz,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
81,2025-04-11,10:00p,Golden State Warriors,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
82,2025-04-13,3:30p,Los Angeles Lakers,,,,,,,,,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Portland Trail Blazers,POR,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Portland Trail Blazers,POR,2025-03-11,,True,1.0
