G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
1,2024-10-24,10:00p,Minnesota Timberwolves,115.0,117.0,0,1,L 1,18049,2:22,,L,Sacramento Kings,SAC,2025-03-11
2,2024-10-26,10:30p,Los Angeles Lakers,127.0,131.0,0,2,L 2,18997,2:18,,L,Sacramento Kings,SAC,2025-03-11
3,2024-10-28,10:00p,Portland Trail Blazers,111.0,98.0,1,2,W 1,16426,2:26,,W,Sacramento Kings,SAC,2025-03-11
4,2024-10-29,9:00p,Utah Jazz,113.0,96.0,2,2,W 2,18175,1:59,,W,Sacramento Kings,SAC,2025-03-11
5,2024-11-01,7:30p,Atlanta Hawks,123.0,115.0,3,2,W 3,15156,2:16,,W,Sacramento Kings,SAC,2025-03-11
6,2024-11-02,7:30p,Toronto Raptors,128.0,131.0,3,3,L 1,19815,2:58,,L,Sacramento Kings,SAC,2025-03-11
7,2024-11-04,8:15p,Miami Heat,111.0,110.0,4,3,W 1,19604,2:20,,W,Sacramento Kings,SAC,2025-03-11
8,2024-11-06,10:00p,Toronto Raptors,122.0,107.0,5,3,W 2,16026,2:11,,W,Sacramento Kings,SAC,2025-03-11
9,2024-11-08,10:00p,Los Angeles Clippers,98.0,107.0,5,4,L 1,17832,2:26,,L,Sacramento Kings,SAC,2025-03-11
10,2024-11-10,8:00p,Phoenix Suns,127.0,118.0,6,4,W 1,17071,2:31,,W,Sacramento Kings,SAC,2025-03-11
11,2024-11-11,8:00p,San Antonio Spurs,96.0,116.0,6,5,L 1,17163,2:03,,L,Sacramento Kings,SAC,2025-03-11
12,2024-11-13,10:00p,Phoenix Suns,127.0,104.0,7,5,W 1,16204,2:02,,W,Sacramento Kings,SAC,2025-03-11
13,2024-11-15,10:00p,Minnesota Timberwolves,126.0,130.0,7,6,L 1,16478,2:25,In-Season Tournament,L,Sacramento Kings,SAC,2025-03-11
14,2024-11-16,10:00p,Utah Jazz,121.0,117.0,8,6,W 1,16568,2:35,,W,Sacramento Kings,SAC,2025-03-11
15,2024-11-18,10:00p,Atlanta Hawks,108.0,109.0,8,7,L 1,16333,2:10,,L,Sacramento Kings,SAC,2025-03-11
16,2024-11-22,10:30p,Los Angeles Clippers,88.0,104.0,8,8,L 2,16228,,In-Season Tournament,L,Sacramento Kings,SAC,2025-03-11
17,2024-11-24,9:00p,Brooklyn Nets,103.0,108.0,8,9,L 3,16750,2:24,,L,Sacramento Kings,SAC,2025-03-11
18,2024-11-25,10:00p,Oklahoma City Thunder,109.0,130.0,8,10,L 4,17832,2:11,,L,Sacramento Kings,SAC,2025-03-11
