G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-24,7:30p,Dallas Mavericks,109.0,120.0,0,1,L 1,20373,2:18,,L,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
2,2024-10-26,8:30p,Houston Rockets,109.0,106.0,1,1,W 1,18715,2:26,,W,San Antonio Spurs,SAS,2025-03-11,,True,1.0
3,2024-10-28,8:00p,Houston Rockets,101.0,106.0,1,2,L 1,17519,2:23,,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
4,2024-10-30,9:30p,Oklahoma City Thunder,93.0,105.0,1,3,L 2,17136,2:01,,L,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
5,2024-10-31,9:00p,Utah Jazz,106.0,88.0,2,3,W 1,18175,2:10,,W,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
6,2024-11-02,8:00p,Minnesota Timberwolves,113.0,103.0,3,3,W 2,18257,2:12,,W,San Antonio Spurs,SAS,2025-03-11,,True,1.0
7,2024-11-04,10:30p,Los Angeles Clippers,104.0,113.0,3,4,L 1,15927,2:05,,L,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
8,2024-11-06,8:00p,Houston Rockets,100.0,127.0,3,5,L 2,16208,1:59,,L,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
9,2024-11-07,8:00p,Portland Trail Blazers,118.0,105.0,4,5,W 1,17120,2:09,,W,San Antonio Spurs,SAS,2025-03-11,,True,1.0
10,2024-11-09,5:00p,Utah Jazz,110.0,111.0,4,6,L 1,18354,2:22,,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
11,2024-11-11,8:00p,Sacramento Kings,116.0,96.0,5,6,W 1,17163,2:03,,W,San Antonio Spurs,SAS,2025-03-11,,True,1.0
12,2024-11-13,8:00p,Washington Wizards,139.0,130.0,6,6,W 2,16602,2:22,,W,San Antonio Spurs,SAS,2025-03-11,,True,1.0
13,2024-11-15,7:30p,Los Angeles Lakers,115.0,120.0,6,7,L 1,18916,2:18,In-Season Tournament,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
14,2024-11-16,8:30p,Dallas Mavericks,93.0,110.0,6,8,L 2,20311,2:10,,L,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
15,2024-11-19,9:30p,Oklahoma City Thunder,110.0,104.0,7,8,W 1,16667,2:16,In-Season Tournament,W,San Antonio Spurs,SAS,2025-03-11,,True,1.0
16,2024-11-21,8:00p,Utah Jazz,126.0,118.0,8,8,W 2,17087,2:22,,W,San Antonio Spurs,SAS,2025-03-11,,True,1.0
17,2024-11-23,8:30p,Golden State Warriors,104.0,94.0,9,8,W 3,18847,2:10,,W,San Antonio Spurs,SAS,2025-03-11,,True,1.0
18,2024-11-26,9:00p,Utah Jazz,128.0,115.0,10,8,W 4,18175,2:19,In-Season Tournament,W,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
19,2024-11-27,8:30p,Los Angeles Lakers,101.0,119.0,10,9,L 1,19120,2:05,,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
20,2024-12-01,9:00p,Sacramento Kings,127.0,125.0,11,9,W 1,16014,2:18,,W,San Antonio Spurs,SAS,2025-03-11,@,False,0.0
21,2024-12-03,9:00p,Phoenix Suns,93.0,104.0,11,10,L 1,17071,2:15,In-Season Tournament,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
22,2024-12-05,8:00p,Chicago Bulls,124.0,139.0,11,11,L 2,17720,2:22,,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
23,2024-12-06,8:00p,Sacramento Kings,113.0,140.0,11,12,L 3,16796,2:13,,L,San Antonio Spurs,SAS,2025-03-11,,True,1.0
