G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
1,2024-10-23,7:30p,Cleveland Cavaliers,106.0,136.0,0,1,L 1,19800,2:18,,L,Toronto Raptors,TOR,2025-03-11,,True,1.0
2,2024-10-25,7:00p,Philadelphia 76ers,115.0,107.0,1,1,W 1,18345,2:47,,W,Toronto Raptors,TOR,2025-03-11,,True,1.0
3,2024-10-26,8:00p,Minnesota Timberwolves,101.0,112.0,1,2,L 1,18978,2:12,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
4,2024-10-28,7:30p,Denver Nuggets,125.0,127.0,1,3,L 2,19082,2:35,,L,Toronto Raptors,TOR,2025-03-11,,True,1.0
5,2024-10-30,7:00p,Charlotte Hornets,133.0,138.0,1,4,L 3,13113,2:18,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
6,2024-11-01,7:30p,Los Angeles Lakers,125.0,131.0,1,5,L 4,19800,2:25,,L,Toronto Raptors,TOR,2025-03-11,,True,1.0
7,2024-11-02,7:30p,Sacramento Kings,131.0,128.0,2,5,W 1,19815,2:58,,W,Toronto Raptors,TOR,2025-03-11,,True,1.0
8,2024-11-04,10:00p,Denver Nuggets,119.0,121.0,2,6,L 1,19525,2:19,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
9,2024-11-06,10:00p,Sacramento Kings,107.0,122.0,2,7,L 2,16026,2:11,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
10,2024-11-09,10:30p,Los Angeles Clippers,103.0,105.0,2,8,L 3,17927,2:23,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
11,2024-11-10,9:30p,Los Angeles Lakers,103.0,123.0,2,9,L 4,18997,2:25,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
12,2024-11-12,8:00p,Milwaukee Bucks,85.0,99.0,2,10,L 5,17341,2:14,In-Season Tournament,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
13,2024-11-15,7:00p,Detroit Pistons,95.0,99.0,2,11,L 6,19245,2:20,In-Season Tournament,L,Toronto Raptors,TOR,2025-03-11,,True,1.0
14,2024-11-16,8:00p,Boston Celtics,123.0,126.0,2,12,L 7,19156,2:27,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
15,2024-11-18,7:30p,Indiana Pacers,130.0,119.0,3,12,W 1,19025,2:16,,W,Toronto Raptors,TOR,2025-03-11,,True,1.0
16,2024-11-21,7:30p,Minnesota Timberwolves,110.0,105.0,4,12,W 2,19296,2:24,,W,Toronto Raptors,TOR,2025-03-11,,True,1.0
17,2024-11-24,7:30p,Cleveland Cavaliers,108.0,122.0,4,13,L 1,19432,2:17,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
18,2024-11-25,7:00p,Detroit Pistons,100.0,102.0,4,14,L 2,18421,2:24,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
19,2024-11-27,8:00p,New Orleans Pelicans,119.0,93.0,5,14,W 1,17307,2:00,,W,Toronto Raptors,TOR,2025-03-11,@,False,0.0
20,2024-11-29,8:00p,Miami Heat,111.0,121.0,5,15,L 1,19607,2:13,In-Season Tournament,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
21,2024-12-01,6:00p,Miami Heat,119.0,116.0,6,15,W 1,18153,2:16,,W,Toronto Raptors,TOR,2025-03-11,,True,1.0
22,2024-12-03,7:30p,Indiana Pacers,122.0,111.0,7,15,W 2,17741,2:17,In-Season Tournament,W,Toronto Raptors,TOR,2025-03-11,,True,1.0
23,2024-12-05,7:30p,Oklahoma City Thunder,92.0,129.0,7,16,L 1,18356,2:02,,L,Toronto Raptors,TOR,2025-03-11,,True,1.0
24,2024-12-07,7:30p,Dallas Mavericks,118.0,125.0,7,17,L 2,19625,2:11,,L,Toronto Raptors,TOR,2025-03-11,,True,1.0
25,2024-12-09,7:30p,New York Knicks,108.0,113.0,7,18,L 3,18284,2:17,,L,Toronto Raptors,TOR,2025-03-11,@,False,0.0
26,2024-12-12,7:30p,Miami Heat,104.0,114.0,7,19,L 4,19600,2:14,,L,Toronto Raptors,TOR,2025-03-11,,True,1.0
27,2024-12-16,7:30p,Chicago Bulls,121.0,122.0,7,20,L 5,16324,2:25,,L,Toronto Raptors,TOR,2025-03-11,,True,1.0
