G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
1,2024-10-23,9:00p,Memphis Grizzlies,124.0,126.0,0,1,L 1,18175,2:33,,L,Utah Jazz,UTA,2025-03-11
2,2024-10-25,9:30p,Golden State Warriors,86.0,127.0,0,2,L 2,18175,2:07,,L,Utah Jazz,UTA,2025-03-11
3,2024-10-28,8:30p,Dallas Mavericks,102.0,110.0,0,3,L 3,19811,2:16,,L,Utah Jazz,UTA,2025-03-11
4,2024-10-29,9:00p,Sacramento Kings,96.0,113.0,0,4,L 4,18175,1:59,,L,Utah Jazz,UTA,2025-03-11
5,2024-10-31,9:00p,San Antonio Spurs,88.0,106.0,0,5,L 5,18175,2:10,,L,Utah Jazz,UTA,2025-03-11
6,2024-11-02,10:00p,Denver Nuggets,103.0,129.0,0,6,L 6,19702,2:28,,L,Utah Jazz,UTA,2025-03-11
7,2024-11-04,8:30p,Chicago Bulls,135.0,126.0,1,6,W 1,19621,2:22,,W,Utah Jazz,UTA,2025-03-11
8,2024-11-07,8:00p,Milwaukee Bucks,100.0,123.0,1,7,L 1,17341,2:14,,L,Utah Jazz,UTA,2025-03-11
9,2024-11-09,5:00p,San Antonio Spurs,111.0,110.0,2,7,W 1,18354,2:22,,W,Utah Jazz,UTA,2025-03-11
10,2024-11-12,9:00p,Phoenix Suns,112.0,120.0,2,8,L 1,18175,2:05,In-Season Tournament,L,Utah Jazz,UTA,2025-03-11
11,2024-11-14,9:00p,Dallas Mavericks,115.0,113.0,3,8,W 1,18175,2:10,,W,Utah Jazz,UTA,2025-03-11
12,2024-11-16,10:00p,Sacramento Kings,117.0,121.0,3,9,L 1,16568,2:35,,L,Utah Jazz,UTA,2025-03-11
13,2024-11-17,9:00p,Los Angeles Clippers,105.0,116.0,3,10,L 2,15500,2:02,,L,Utah Jazz,UTA,2025-03-11
14,2024-11-19,10:30p,Los Angeles Lakers,118.0,124.0,3,11,L 3,18997,2:16,In-Season Tournament,L,Utah Jazz,UTA,2025-03-11
15,2024-11-21,8:00p,San Antonio Spurs,118.0,126.0,3,12,L 4,17087,2:22,,L,Utah Jazz,UTA,2025-03-11
16,2024-11-23,5:00p,New York Knicks,121.0,106.0,4,12,W 1,18175,2:07,,W,Utah Jazz,UTA,2025-03-11
17,2024-11-26,9:00p,San Antonio Spurs,115.0,128.0,4,13,L 1,18175,2:19,In-Season Tournament,L,Utah Jazz,UTA,2025-03-11
18,2024-11-27,9:00p,Denver Nuggets,103.0,122.0,4,14,L 2,18175,2:05,,L,Utah Jazz,UTA,2025-03-11
19,2024-11-30,9:30p,Dallas Mavericks,94.0,106.0,4,15,L 3,18175,2:04,,L,Utah Jazz,UTA,2025-03-11
20,2024-12-01,8:00p,Los Angeles Lakers,104.0,105.0,4,16,L 4,18175,2:09,,L,Utah Jazz,UTA,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Utah Jazz,UTA,2025-03-11
21,2024-12-03,8:00p,Oklahoma City Thunder,106.0,133.0,4,17,L 5,17711,2:13,In-Season Tournament,L,Utah Jazz,UTA,2025-03-11
22,2024-12-06,10:00p,Portland Trail Blazers,141.0,99.0,5,17,W 1,16446,2:07,,W,Utah Jazz,UTA,2025-03-11
23,2024-12-08,9:00p,Sacramento Kings,97.0,141.0,5,18,L 1,15706,2:09,,L,Utah Jazz,UTA,2025-03-11
24,2024-12-13,9:30p,Phoenix Suns,126.0,134.0,5,19,L 2,18175,2:11,,L,Utah Jazz,UTA,2025-03-11
25,2024-12-16,10:30p,Los Angeles Clippers,107.0,144.0,5,20,L 3,14651,2:16,,L,Utah Jazz,UTA,2025-03-11
26,2024-12-19,7:00p,Detroit Pistons,126.0,119.0,6,20,W 1,18022,2:32,,W,Utah Jazz,UTA,2025-03-11
27,2024-12-21,7:30p,Brooklyn Nets,105.0,94.0,7,20,W 2,17926,2:06,,W,Utah Jazz,UTA,2025-03-11
28,2024-12-23,7:00p,Cleveland Cavaliers,113.0,124.0,7,21,L 1,19432,2:09,,L,Utah Jazz,UTA,2025-03-11
29,2024-12-26,10:00p,Portland Trail Blazers,120.0,122.0,7,22,L 2,16934,2:07,,L,Utah Jazz,UTA,2025-03-11
30,2024-12-28,9:30p,Philadelphia 76ers,111.0,114.0,7,23,L 3,18175,2:31,,L,Utah Jazz,UTA,2025-03-11
31,2024-12-30,9:00p,Denver Nuggets,121.0,132.0,7,24,L 4,18175,2:06,,L,Utah Jazz,UTA,2025-03-11
32,2025-01-01,7:30p,New York Knicks,103.0,119.0,7,25,L 5,19812,2:06,,L,Utah Jazz,UTA,2025-03-11
33,2025-01-04,8:00p,Miami Heat,136.0,100.0,8,25,W 1,19934,2:07,,W,Utah Jazz,UTA,2025-03-11
34,2025-01-05,6:30p,Orlando Magic,105.0,92.0,9,25,W 2,19198,2:03,,W,Utah Jazz,UTA,2025-03-11
35,2025-01-07,9:00p,Atlanta Hawks,121.0,124.0,9,26,L 1,18175,2:18,,L,Utah Jazz,UTA,2025-03-11
36,2025-01-09,9:00p,Miami Heat,92.0,97.0,9,27,L 2,18175,2:11,,L,Utah Jazz,UTA,2025-03-11
37,2025-01-11,5:00p,Phoenix Suns,106.0,114.0,9,28,L 3,17071,2:10,,L,Utah Jazz,UTA,2025-03-11
38,2025-01-12,8:00p,Brooklyn Nets,112.0,111.0,10,28,W 1,18175,2:44,,W,Utah Jazz,UTA,2025-03-11
39,2025-01-15,9:00p,Charlotte Hornets,112.0,117.0,10,29,L 1,18175,2:09,,L,Utah Jazz,UTA,2025-03-11
40,2025-01-17,8:00p,New Orleans Pelicans,123.0,136.0,10,30,L 2,18321,2:23,,L,Utah Jazz,UTA,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Utah Jazz,UTA,2025-03-11
41,2025-01-20,8:00p,New Orleans Pelicans,119.0,123.0,10,31,L 3,14830,2:30,,L,Utah Jazz,UTA,2025-03-11
42,2025-01-22,8:00p,Oklahoma City Thunder,114.0,123.0,10,32,L 4,17509,2:18,,L,Utah Jazz,UTA,2025-03-11
43,2025-01-25,8:00p,Memphis Grizzlies,103.0,125.0,10,33,L 5,17011,2:20,,L,Utah Jazz,UTA,2025-03-11
