G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
1,2024-10-24,7:00p,Boston Celtics,102.0,122.0,0,1,L 1,18610,2:11,,L,Washington Wizards,WAS,2025-03-11
2,2024-10-26,7:00p,Cleveland Cavaliers,116.0,135.0,0,2,L 2,15156,2:23,,L,Washington Wizards,WAS,2025-03-11
3,2024-10-28,7:30p,Atlanta Hawks,121.0,119.0,1,2,W 1,14566,2:26,,W,Washington Wizards,WAS,2025-03-11
4,2024-10-30,7:00p,Atlanta Hawks,133.0,120.0,2,2,W 2,14255,2:25,,W,Washington Wizards,WAS,2025-03-11
5,2024-11-02,9:30p,Miami Heat,98.0,118.0,2,3,L 1,20328,2:16,,L,Washington Wizards,WAS,2025-03-11
6,2024-11-04,7:15p,Golden State Warriors,112.0,125.0,2,4,L 2,15674,2:20,,L,Washington Wizards,WAS,2025-03-11
7,2024-11-08,8:00p,Memphis Grizzlies,104.0,128.0,2,5,L 3,16216,2:23,,L,Washington Wizards,WAS,2025-03-11
8,2024-11-10,6:00p,Orlando Magic,94.0,121.0,2,6,L 4,18352,2:20,,L,Washington Wizards,WAS,2025-03-11
9,2024-11-11,8:00p,Houston Rockets,92.0,107.0,2,7,L 5,15998,2:16,,L,Washington Wizards,WAS,2025-03-11
10,2024-11-13,8:00p,San Antonio Spurs,130.0,139.0,2,8,L 6,16602,2:22,,L,Washington Wizards,WAS,2025-03-11
11,2024-11-15,7:30p,Atlanta Hawks,117.0,129.0,2,9,L 7,16038,2:15,In-Season Tournament,L,Washington Wizards,WAS,2025-03-11
12,2024-11-17,6:00p,Detroit Pistons,104.0,124.0,2,10,L 8,14789,2:08,,L,Washington Wizards,WAS,2025-03-11
13,2024-11-18,7:30p,New York Knicks,106.0,134.0,2,11,L 9,19812,2:00,,L,Washington Wizards,WAS,2025-03-11
14,2024-11-22,7:00p,Boston Celtics,96.0,108.0,2,12,L 10,20385,2:24,In-Season Tournament,L,Washington Wizards,WAS,2025-03-11
15,2024-11-24,5:00p,Indiana Pacers,103.0,115.0,2,13,L 11,17274,2:11,,L,Washington Wizards,WAS,2025-03-11
16,2024-11-26,7:00p,Chicago Bulls,108.0,127.0,2,14,L 12,15921,2:13,In-Season Tournament,L,Washington Wizards,WAS,2025-03-11
17,2024-11-27,7:00p,Los Angeles Clippers,96.0,121.0,2,15,L 13,15066,2:12,,L,Washington Wizards,WAS,2025-03-11
18,2024-11-30,8:00p,Milwaukee Bucks,114.0,124.0,2,16,L 14,17341,2:20,,L,Washington Wizards,WAS,2025-03-11
19,2024-12-03,7:00p,Cleveland Cavaliers,87.0,118.0,2,17,L 15,19432,2:09,In-Season Tournament,L,Washington Wizards,WAS,2025-03-11
20,2024-12-05,7:00p,Dallas Mavericks,101.0,137.0,2,18,L 16,15921,2:08,,L,Washington Wizards,WAS,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Washington Wizards,WAS,2025-03-11
21,2024-12-07,7:00p,Denver Nuggets,122.0,113.0,3,18,W 1,16182,2:22,,W,Washington Wizards,WAS,2025-03-11
22,2024-12-08,7:00p,Memphis Grizzlies,112.0,140.0,3,19,L 1,15012,2:18,,L,Washington Wizards,WAS,2025-03-11
23,2024-12-13,7:00p,Cleveland Cavaliers,105.0,115.0,3,20,L 2,19432,2:15,,L,Washington Wizards,WAS,2025-03-11
24,2024-12-15,6:00p,Boston Celtics,98.0,112.0,3,21,L 3,16227,2:05,,L,Washington Wizards,WAS,2025-03-11
25,2024-12-19,7:00p,Charlotte Hornets,123.0,114.0,4,21,W 1,15256,2:24,,W,Washington Wizards,WAS,2025-03-11
26,2024-12-21,8:00p,Milwaukee Bucks,101.0,112.0,4,22,L 1,17341,1:54,,L,Washington Wizards,WAS,2025-03-11
27,2024-12-23,8:00p,Oklahoma City Thunder,105.0,123.0,4,23,L 2,18203,2:17,,L,Washington Wizards,WAS,2025-03-11
28,2024-12-26,7:00p,Charlotte Hornets,113.0,110.0,5,23,W 1,17193,2:25,,W,Washington Wizards,WAS,2025-03-11
29,2024-12-28,7:00p,New York Knicks,132.0,136.0,5,24,L 1,20385,2:28,,L,Washington Wizards,WAS,2025-03-11
30,2024-12-30,7:00p,New York Knicks,106.0,126.0,5,25,L 2,20385,2:10,,L,Washington Wizards,WAS,2025-03-11
31,2025-01-01,7:00p,Chicago Bulls,125.0,107.0,6,25,W 1,16298,2:12,,W,Washington Wizards,WAS,2025-03-11
32,2025-01-03,8:00p,New Orleans Pelicans,120.0,132.0,6,26,L 1,17307,2:17,,L,Washington Wizards,WAS,2025-03-11
33,2025-01-05,6:00p,New Orleans Pelicans,98.0,110.0,6,27,L 2,15451,2:08,,L,Washington Wizards,WAS,2025-03-11
34,2025-01-07,7:00p,Houston Rockets,112.0,135.0,6,28,L 3,12930,2:05,,L,Washington Wizards,WAS,2025-03-11
35,2025-01-08,7:00p,Philadelphia 76ers,103.0,109.0,6,29,L 4,19762,2:18,,L,Washington Wizards,WAS,2025-03-11
36,2025-01-10,8:00p,Chicago Bulls,105.0,138.0,6,30,L 5,21391,2:03,,L,Washington Wizards,WAS,2025-03-11
37,2025-01-12,6:00p,Oklahoma City Thunder,95.0,136.0,6,31,L 6,15711,2:18,,L,Washington Wizards,WAS,2025-03-11
38,2025-01-13,7:00p,Minnesota Timberwolves,106.0,120.0,6,32,L 7,14386,2:12,,L,Washington Wizards,WAS,2025-03-11
39,2025-01-16,7:00p,Phoenix Suns,123.0,130.0,6,33,L 8,15792,2:19,,L,Washington Wizards,WAS,2025-03-11
40,2025-01-18,8:30p,Golden State Warriors,114.0,122.0,6,34,L 9,18064,2:21,,L,Washington Wizards,WAS,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Washington Wizards,WAS,2025-03-11
41,2025-01-19,9:00p,Sacramento Kings,100.0,123.0,6,35,L 10,17832,2:15,,L,Washington Wizards,WAS,2025-03-11
42,2025-01-21,10:30p,Los Angeles Lakers,88.0,111.0,6,36,L 11,18672,2:08,,L,Washington Wizards,WAS,2025-03-11
43,2025-01-23,10:30p,Los Angeles Clippers,93.0,110.0,6,37,L 12,13771,2:11,,L,Washington Wizards,WAS,2025-03-11
44,2025-01-25,9:00p,Phoenix Suns,109.0,119.0,6,38,L 13,17071,2:07,,L,Washington Wizards,WAS,2025-03-11
45,2025-01-27,8:30p,Dallas Mavericks,108.0,130.0,6,39,L 14,20031,1:59,,L,Washington Wizards,WAS,2025-03-11
46,2025-01-29,7:00p,Toronto Raptors,82.0,106.0,6,40,L 15,13713,2:19,,L,Washington Wizards,WAS,2025-03-11
47,2025-01-30,7:00p,Los Angeles Lakers,96.0,134.0,6,41,L 16,17491,2:14,,L,Washington Wizards,WAS,2025-03-11
48,2025-02-01,8:00p,Minnesota Timberwolves,105.0,103.0,7,41,W 1,18978,2:16,,W,Washington Wizards,WAS,2025-03-11
49,2025-02-03,7:00p,Charlotte Hornets,124.0,114.0,8,41,W 2,14129,2:13,,W,Washington Wizards,WAS,2025-03-11
50,2025-02-05,7:30p,Brooklyn Nets,119.0,102.0,9,41,W 3,16035,2:11,,W,Washington Wizards,WAS,2025-03-11
51,2025-02-07,7:00p,Cleveland Cavaliers,124.0,134.0,9,42,L 1,20385,2:19,,L,Washington Wizards,WAS,2025-03-11
52,2025-02-08,7:00p,Atlanta Hawks,111.0,125.0,9,43,L 2,16835,2:08,,L,Washington Wizards,WAS,2025-03-11
53,2025-02-10,7:00p,San Antonio Spurs,121.0,131.0,9,44,L 3,17446,2:18,,L,Washington Wizards,WAS,2025-03-11
54,2025-02-12,7:00p,Indiana Pacers,130.0,134.0,9,45,L 4,11457,2:35,,L,Washington Wizards,WAS,2025-03-11
55,2025-02-21,7:00p,Milwaukee Bucks,101.0,104.0,9,46,L 5,18865,2:23,,L,Washington Wizards,WAS,2025-03-11
56,2025-02-23,6:00p,Orlando Magic,90.0,110.0,9,47,L 6,18712,2:20,,L,Washington Wizards,WAS,2025-03-11
57,2025-02-24,7:00p,Brooklyn Nets,107.0,99.0,10,47,W 1,13785,2:34,,W,Washington Wizards,WAS,2025-03-11
58,2025-02-26,7:00p,Portland Trail Blazers,121.0,129.0,10,48,L 1,12943,2:29,,L,Washington Wizards,WAS,2025-03-11
59,2025-03-01,6:00p,Charlotte Hornets,113.0,100.0,11,48,W 1,17904,1:59,,W,Washington Wizards,WAS,2025-03-11
60,2025-03-03,7:30p,Miami Heat,90.0,106.0,11,49,L 1,19600,2:09,,L,Washington Wizards,WAS,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Washington Wizards,WAS,2025-03-11
61,2025-03-05,7:00p,Utah Jazz,125.0,122.0,12,49,W 1,14761,2:20,,W,Washington Wizards,WAS,2025-03-11
62,2025-03-08,7:30p,Toronto Raptors,118.0,117.0,13,49,W 2,19042,2:19,,W,Washington Wizards,WAS,2025-03-11
63,2025-03-10,7:30p,Toronto Raptors,104.0,119.0,13,50,L 1,18739,2:06,,L,Washington Wizards,WAS,2025-03-11
64,2025-03-11,7:00p,Detroit Pistons,,,,,,,,,,Washington Wizards,WAS,2025-03-11
65,2025-03-13,7:00p,Detroit Pistons,,,,,,,,,,Washington Wizards,WAS,2025-03-11
66,2025-03-15,9:00p,Denver Nuggets,,,,,,,,,,Washington Wizards,WAS,2025-03-11
67,2025-03-17,10:00p,Portland Trail Blazers,,,,,,,,,,Washington Wizards,WAS,2025-03-11
68,2025-03-19,9:00p,Utah Jazz,,,,,,,,,,Washington Wizards,WAS,2025-03-11
69,2025-03-21,7:00p,Orlando Magic,,,,,,,,,,Washington Wizards,WAS,2025-03-11
70,2025-03-22,8:00p,New York Knicks,,,,,,,,,,Washington Wizards,WAS,2025-03-11
71,2025-03-24,7:00p,Toronto Raptors,,,,,,,,,,Washington Wizards,WAS,2025-03-11
72,2025-03-26,7:00p,Philadelphia 76ers,,,,,,,,,,Washington Wizards,WAS,2025-03-11
73,2025-03-27,7:00p,Indiana Pacers,,,,,,,,,,Washington Wizards,WAS,2025-03-11
74,2025-03-29,7:00p,Brooklyn Nets,,,,,,,,,,Washington Wizards,WAS,2025-03-11
75,2025-03-31,7:00p,Miami Heat,,,,,,,,,,Washington Wizards,WAS,2025-03-11
76,2025-04-02,7:00p,Sacramento Kings,,,,,,,,,,Washington Wizards,WAS,2025-03-11
77,2025-04-03,7:00p,Orlando Magic,,,,,,,,,,Washington Wizards,WAS,2025-03-11
78,2025-04-06,6:00p,Boston Celtics,,,,,,,,,,Washington Wizards,WAS,2025-03-11
79,2025-04-08,7:00p,Indiana Pacers,,,,,,,,,,Washington Wizards,WAS,2025-03-11
80,2025-04-09,7:00p,Philadelphia 76ers,,,,,,,,,,Washington Wizards,WAS,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Washington Wizards,WAS,2025-03-11
81,2025-04-11,8:00p,Chicago Bulls,,,,,,,,,,Washington Wizards,WAS,2025-03-11
82,2025-04-13,1:00p,Miami Heat,,,,,,,,,,Washington Wizards,WAS,2025-03-11
